;aquacultures;aquaculture in a continental environment;aquaculture in the marine environment;commercial airports;military airports;sport flight airports and heliports;other wood crops;riverbeds and streams with abundant vegetation;riverbeds and streams with sparse vegetation;bathing areas;archaeological areas;gully areas;areas with agricultural crops and important natural spaces;areas with sparse other vegetation;active mining areas;inactive mining areas;urban waste areas;areas for telecommunications systems;areas affected by fires;commercial port areas;port areas for pleasure;port areas for fishing;sports areas;green areas associated with roads;embankments;racetracks;highways and expressways;artificial basins;natural basins;production basins;ruderal thickets;forests with a prevalence of beech trees;woods with a prevalence of oaks, hornbeams and chestnuts;woods with a prevalence of willows and poplars;coniferous forests;mixed coniferous and broad-leaved forests;lowland woods with a prevalence of oaks and ashes;campsites and tourist accommodation facilities;golf courses;canals and waterways;construction sites and excavations;fruit chestnut trees;bushes and shrubs;cemeteries;horticultural crops;temporary crops associated with permanent crops;scrap yards;municipal solid waste landfills;landfills and warehouses of quarries, mines and industries;orchards;goods sorting systems;photovoltaic systems;agro-zootechnical settlements;commercial settlements;installations of technological systems;service settlements;hospital settlements;production facilities;racecourses;olive groves;parks;amusement parks;cultivated poplar groves;high altitude prairies and moors;stable meadows;railway networks;networks for energy distribution and production;water distribution networks;road networks;recent reforestation;rice fields;bare rocks, cliffs and outcrops;salt pans;non-irrigated arable land;simple irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;isolated residential structures;reworked and artefacted soils;sparse residential fabric;compact and dense residential fabric;urban residential fabric;peat bogs;brackish valleys;shrubby and arboreal vegetation with scattered trees;vineyards;villas;nurseries;internal wetlands;brackish wetlands
woods with a prevalence of willows and poplars;0;4;0;0;0;0;7;418;1;0;0;0;6;0;0;0;11;0;0;0;0;0;12;11;41;0;1;47;3;9;254;0;72;397;0;1;210;3;6;13;0;1;15;1;5;2;4;0;0;16;0;0;16;0;7;8;0;2;15;0;17;1;56;0;3;5;7;14;4;45;0;0;0;1;54;28;0;9;10;8;0;2;0;0;33;35;22;15;12;0
coniferous forests;0;0;0;0;0;0;0;33;0;0;0;0;10;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;1;18;555;18;1173;0;0;13;2;0;0;50;26;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;8;0;1;0;3;0;0;0;0;3;1;1;0;4;1;24;0;26;0;0;25;0;0;0;0;0
mixed coniferous and broad-leaved forests;0;0;0;0;0;0;1;39;0;0;0;0;25;0;0;0;1;0;0;0;0;0;2;0;0;1;0;0;1;0;13;98;1133;77;427;1;2;4;0;0;0;43;14;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;38;0;2;0;1;3;0;0;0;3;1;1;0;4;0;3;0;5;0;0;50;1;3;0;0;0
lowland woods with a prevalence of oaks and ashes;0;12;0;0;0;0;8;29;1;0;0;0;0;0;0;0;2;0;0;0;0;0;10;4;8;2;0;79;1;0;173;0;0;138;0;0;782;1;0;143;1;0;0;0;0;0;4;2;0;9;0;0;11;0;4;3;0;0;12;0;5;2;26;0;0;2;1;0;0;59;0;0;0;0;181;12;0;6;8;5;0;0;0;0;0;82;25;110;37;0
campsites and tourist accommodation facilities;0;0;0;0;0;1;1;5;0;0;0;0;6;0;0;0;0;0;0;0;0;0;4;0;0;3;0;0;0;0;0;0;235;1;133;0;0;134;25;0;0;0;0;4;0;5;2;0;0;1;0;0;5;0;1;0;0;0;15;0;0;0;0;0;14;0;1;0;14;2;0;0;0;1;0;6;0;13;6;105;0;72;0;0;0;0;16;2;0;0
golf courses;0;0;0;0;0;0;0;10;0;0;0;0;1;0;0;0;11;0;0;0;0;0;235;4;1;0;0;127;0;0;17;0;1;0;0;0;0;2;1316;2;0;0;17;4;0;0;0;0;0;1;0;0;0;0;8;5;4;3;99;0;5;13;0;0;4;23;2;4;15;3;0;0;0;0;3;18;0;5;1;4;0;4;0;0;0;4;17;7;0;0
canals and waterways;0;77;0;1;0;1;0;18;7;0;0;0;0;0;0;0;5;0;0;0;0;0;8;10;55;0;2;159;5;3;19;0;0;11;0;0;7;0;0;1312;1;0;0;4;6;7;2;6;0;7;0;5;18;1;18;8;0;2;11;0;0;0;5;0;0;3;4;28;8;10;1;0;0;1;83;8;0;10;7;7;0;1;0;0;0;3;0;2;23;0
construction sites and excavations;0;1;0;1;0;2;0;9;11;0;0;5;0;0;31;0;69;0;0;0;0;0;22;9;6;6;4;11;0;3;5;0;5;1;0;0;0;0;0;5;831;0;0;12;33;3;11;16;18;5;46;0;56;29;21;22;12;98;69;0;1;9;10;0;15;39;109;7;36;1;0;0;0;9;78;14;0;22;90;53;0;1;0;0;0;3;6;9;0;0
fruit chestnut trees;0;0;0;0;0;0;0;1;0;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;154;783;9;0;0;0;0;0;0;0;928;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;1;0;0;0;4;0;2;0;3;0;3;0;0;0;0;26;4;0;2;0;0
bushes and shrubs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cemeteries;0;0;0;2;0;0;1;0;0;0;0;0;7;0;0;0;5;0;0;0;0;0;45;2;4;0;0;0;0;0;5;0;7;1;0;0;1;32;2;4;6;5;0;824;0;1;5;0;0;1;0;0;151;8;16;78;7;18;103;0;14;0;2;0;11;21;33;8;55;4;0;0;0;2;38;10;0;83;6;296;8;31;0;0;0;3;9;25;0;0
horticultural crops;0;5;0;0;0;0;3;1;1;0;0;0;6;0;0;0;2;0;0;0;0;0;5;4;7;5;0;10;0;0;4;0;2;0;0;0;0;2;1;14;19;0;0;8;1423;19;3;2;0;37;0;16;38;3;2;0;0;6;21;0;0;0;18;0;5;4;3;0;6;0;3;0;0;15;113;61;0;12;1;12;0;3;0;0;0;13;0;58;4;0
temporary crops associated with permanent crops;0;0;0;3;0;0;23;2;0;0;0;0;106;0;0;0;78;0;0;0;0;0;70;9;21;10;1;30;0;1;46;0;4;4;0;0;4;4;0;39;10;6;1;31;7;244;21;1;0;28;0;0;21;0;14;12;4;4;135;0;39;40;0;0;169;2;46;8;5;84;0;0;0;8;190;260;0;19;15;33;0;2;0;0;7;57;9;13;0;0
scrap yards;0;0;0;3;0;0;0;1;0;0;0;0;1;0;0;0;4;0;0;0;0;0;0;6;0;0;4;0;0;0;0;0;27;0;0;0;0;0;0;0;14;0;0;4;0;0;34;0;3;0;130;0;2;193;10;8;6;246;0;0;0;0;0;0;0;208;9;0;40;0;0;0;0;0;6;1;0;4;10;10;0;3;0;0;0;0;0;2;0;0
municipal solid waste landfills;0;0;0;0;0;7;2;0;0;0;0;0;0;0;0;0;56;0;0;0;0;0;48;14;6;0;11;4;0;2;12;0;12;2;0;0;70;2;8;24;47;0;0;3;19;4;11;129;21;1;0;227;91;40;40;32;6;120;76;0;5;2;0;0;13;59;217;21;19;264;0;0;0;0;12;28;0;0;90;2;0;0;0;0;0;11;21;39;50;0
landfills and warehouses of quarries, mines and industries;0;0;0;0;0;0;0;22;3;0;0;2;4;0;1;0;121;0;0;0;0;0;0;1;0;96;2;8;0;2;1;0;52;1;0;0;0;0;3;0;0;0;2;0;0;1;587;0;37;0;0;0;11;0;26;0;0;4;26;0;0;0;0;0;288;68;275;10;1;1;0;0;0;272;5;0;0;1;15;0;0;0;0;0;42;1;0;8;0;0
orchards;0;0;0;0;0;0;10;4;0;0;0;1;23;0;0;0;10;0;0;0;0;0;12;2;14;2;0;5;0;0;6;0;3;0;0;0;6;1;1;9;3;0;6;2;10;10;0;1;2;1314;0;0;13;0;1;0;0;1;32;0;2;1;61;0;18;0;1;1;1;11;0;0;0;3;53;87;0;12;2;7;0;2;0;0;1;202;4;27;0;0
goods sorting systems;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;11;7;0;0;6;3;0;0;0;0;0;0;0;0;0;0;0;1;52;0;0;0;46;0;2;0;0;0;165;0;35;164;6;9;14;1308;0;0;0;0;0;0;0;3;5;0;32;0;0;0;0;0;2;0;0;0;1;5;0;2;0;0;0;0;0;113;2;0
photovoltaic systems;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;15;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;2;0;6;6;0;0;0;1838;7;2;3;9;0;9;3;0;0;0;0;0;1;0;22;9;3;0;1;0;0;12;19;0;0;3;6;0;0;0;0;0;0;0;0;1;0;0
agro-zootechnical settlements;0;2;0;0;0;3;4;1;0;0;0;1;19;0;0;0;13;0;0;0;0;0;44;9;19;2;1;22;0;2;5;0;9;1;0;0;0;2;3;16;29;0;0;51;9;9;4;0;2;6;4;1;841;17;31;21;1;83;148;0;6;0;4;0;19;10;116;9;9;4;0;0;0;3;47;37;0;97;20;125;0;7;0;0;1;19;6;18;8;0
commercial settlements;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;22;0;0;0;0;0;23;13;0;7;27;2;0;0;1;0;2;0;0;0;0;0;0;4;27;0;0;14;0;0;16;1;11;0;43;0;60;668;33;102;68;513;20;0;1;2;1;0;0;37;66;8;55;1;0;0;0;1;5;1;0;16;19;77;9;3;0;0;0;0;2;15;0;0
installations of technological systems;0;2;0;2;0;0;1;55;0;0;0;0;20;0;0;0;59;0;0;0;0;0;27;41;62;7;18;50;0;2;54;0;15;7;0;0;9;0;7;154;8;0;0;3;10;3;15;16;3;1;0;1;128;8;541;39;4;4;36;0;13;0;0;0;12;11;130;115;36;13;2;0;0;8;39;26;0;22;54;31;0;2;0;0;3;0;2;35;34;0
service settlements;0;0;0;0;0;1;0;15;0;0;0;0;8;0;1;0;56;0;0;0;0;0;160;23;14;2;2;8;0;3;48;0;35;45;0;0;114;5;19;4;14;0;6;115;3;1;10;2;0;2;3;2;60;79;47;242;82;98;89;0;21;9;2;0;10;7;43;15;38;14;0;0;0;0;15;11;0;29;36;197;32;37;0;0;2;13;24;14;13;0
hospital settlements;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;208;10;2;0;1;2;0;2;49;0;0;0;0;0;1;2;0;14;39;0;0;78;0;3;14;5;0;34;9;0;15;63;32;245;52;192;109;0;7;0;0;0;0;23;43;61;97;28;0;0;0;0;6;15;0;2;6;308;102;65;0;0;0;0;4;1;0;0
production facilities;0;7;0;4;0;3;0;1;8;0;0;0;0;0;4;0;32;0;0;0;0;0;30;13;3;2;6;14;5;0;6;0;3;0;0;0;0;0;0;7;45;0;0;16;1;0;10;0;1;0;95;2;82;258;47;49;22;943;18;0;4;1;0;0;2;36;59;3;30;2;0;0;0;0;7;9;0;6;30;45;8;8;0;0;1;0;1;11;0;0
racecourses;0;0;0;0;0;0;12;1;1;0;0;0;3;0;0;0;43;0;0;0;0;0;260;9;17;8;0;14;0;0;10;0;0;1;0;0;8;2;221;16;29;0;1;42;7;21;1;3;1;32;0;0;105;0;7;27;0;4;574;0;34;5;2;0;20;4;12;23;7;26;0;0;0;3;173;62;0;33;25;25;0;2;0;0;2;24;15;22;1;0
olive groves;0;0;0;16;0;6;48;3;0;0;1;4;30;0;0;0;37;0;0;0;0;0;91;0;0;24;0;6;0;0;5;0;20;2;1;0;3;0;39;0;4;0;1;15;0;4;0;0;14;101;3;0;12;0;9;0;2;1;233;0;6;8;0;0;35;2;9;0;9;3;0;0;0;6;67;238;0;30;1;6;0;3;0;0;11;773;32;26;0;0
parks;0;0;0;1;1;1;3;12;0;0;0;0;6;0;0;0;134;0;0;0;0;0;421;35;8;12;0;16;1;0;19;0;7;5;14;1;9;14;17;9;11;0;2;58;1;6;2;4;0;4;6;0;8;17;27;96;40;12;159;0;243;39;7;0;6;11;14;20;21;18;0;0;0;0;11;40;0;4;33;206;1;64;0;0;1;7;31;23;1;0
amusement parks;0;0;0;0;0;26;15;48;7;0;2;3;12;0;4;0;21;0;0;0;0;0;100;13;0;65;0;383;6;32;23;0;40;11;0;1;0;100;148;11;20;0;16;2;0;14;17;1;8;0;0;0;21;2;16;15;1;56;157;0;40;3;0;0;45;35;18;33;15;9;0;0;0;12;30;139;0;7;4;20;0;14;0;0;36;22;23;78;0;0
cultivated poplar groves;0;0;0;0;0;1;9;64;2;0;0;0;0;0;0;0;6;0;0;0;0;0;4;0;97;0;0;27;0;8;20;0;0;35;0;0;67;0;0;18;19;0;5;0;20;0;7;6;0;23;0;3;2;0;1;1;0;0;1;0;0;2;1325;0;2;4;4;3;0;20;0;0;0;2;38;3;0;1;5;0;0;2;0;0;1;114;1;13;14;0
high altitude prairies and moors;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;31;0;0;0;4;0;1;0;0;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1903;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
stable meadows;0;0;0;0;0;2;6;6;0;0;0;7;162;0;2;0;25;0;0;0;0;0;17;0;10;7;0;4;0;0;1;2;42;3;0;0;0;2;4;2;6;9;18;3;1;42;4;1;0;2;0;0;16;0;0;2;0;0;31;0;1;0;6;1;1083;8;6;3;3;10;0;0;0;125;155;25;0;10;1;11;0;3;0;0;71;28;0;11;0;0
