;aquacultures;aquaculture in a continental environment;aquaculture in the marine environment;commercial airports;military airports;sport flight airports and heliports;other wood crops;riverbeds and streams with abundant vegetation;riverbeds and streams with sparse vegetation;bathing areas;archaeological areas;gully areas;areas with agricultural crops and important natural spaces;areas with sparse other vegetation;active mining areas;inactive mining areas;urban waste areas;areas for telecommunications systems;areas affected by fires;commercial port areas;port areas for pleasure;port areas for fishing;sports areas;green areas associated with roads;embankments;racetracks;highways and expressways;artificial basins;natural basins;production basins;ruderal thickets;forests with a prevalence of beech trees;woods with a prevalence of oaks, hornbeams and chestnuts;woods with a prevalence of willows and poplars;coniferous forests;mixed coniferous and broad-leaved forests;lowland woods with a prevalence of oaks and ashes;campsites and tourist accommodation facilities;golf courses;canals and waterways;construction sites and excavations;fruit chestnut trees;bushes and shrubs;cemeteries;horticultural crops;temporary crops associated with permanent crops;scrap yards;municipal solid waste landfills;landfills and warehouses of quarries, mines and industries;orchards;goods sorting systems;photovoltaic systems;agro-zootechnical settlements;commercial settlements;installations of technological systems;service settlements;hospital settlements;production facilities;racecourses;olive groves;parks;amusement parks;cultivated poplar groves;high altitude prairies and moors;stable meadows;railway networks;networks for energy distribution and production;water distribution networks;road networks;recent reforestation;rice fields;bare rocks, cliffs and outcrops;salt pans;non-irrigated arable land;simple irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;isolated residential structures;reworked and artefacted soils;sparse residential fabric;compact and dense residential fabric;urban residential fabric;peat bogs;brackish valleys;shrubby and arboreal vegetation with scattered trees;vineyards;villas;nurseries;internal wetlands;brackish wetlands
active mining areas;0;0;0;0;0;1;5;107;220;0;0;6;2;10;340;51;23;0;0;0;0;0;8;1;18;3;0;286;8;4;7;0;13;22;0;0;0;0;0;23;313;0;0;0;0;2;3;14;57;2;0;1;20;8;4;4;0;19;23;2;3;1;22;0;6;27;0;3;9;2;0;0;0;15;10;6;0;2;88;0;0;0;0;0;51;0;1;2;122;0
inactive mining areas;0;0;0;0;0;0;0;228;105;0;0;16;2;8;164;181;56;0;0;0;0;0;8;6;32;9;0;83;0;0;14;0;15;7;0;0;4;2;0;3;107;0;0;0;0;1;0;0;15;28;0;0;5;0;0;1;0;1;57;5;1;0;1;0;11;32;1;1;8;6;1;4;0;27;18;1;0;0;300;0;0;0;0;0;282;0;1;0;142;0
urban waste areas;0;0;0;9;0;22;15;2;0;0;0;1;3;1;4;19;714;0;0;0;0;0;35;85;18;2;0;4;0;0;14;1;6;3;3;0;9;0;0;19;60;0;0;14;4;17;1;26;4;12;3;12;54;13;8;58;3;53;21;0;100;0;10;0;23;18;31;13;45;35;0;0;0;13;90;20;0;19;132;23;0;39;0;0;10;2;11;4;10;0
areas for telecommunications systems;0;0;0;1;0;0;1;0;0;0;0;0;7;0;0;0;36;0;0;0;0;0;1;9;1;0;0;9;0;0;0;1;5;0;0;0;0;0;0;1;3;0;0;9;0;0;1;40;17;6;0;0;7;2;2;3;0;28;0;2;0;0;0;0;1;2;8;0;10;1;0;0;0;0;8;7;0;39;38;7;0;4;0;0;0;3;4;0;0;0
areas affected by fires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commercial port areas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
port areas for pleasure;0;2;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;186;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0
port areas for fishing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sports areas;0;17;0;0;0;8;7;5;1;0;0;1;7;0;0;3;41;0;0;0;0;0;803;2;2;2;0;55;0;1;4;0;8;1;1;0;0;5;42;15;16;0;1;35;0;1;1;4;1;16;1;0;64;20;19;114;1;33;68;15;107;19;2;30;17;0;15;9;57;0;0;1;0;20;9;17;0;54;9;39;0;49;0;0;3;11;80;6;5;0
green areas associated with roads;0;0;0;2;0;2;1;1;0;0;0;0;8;0;2;2;129;0;0;0;0;0;8;789;7;0;167;3;0;0;48;0;3;1;0;0;2;0;0;33;16;0;0;24;1;1;2;25;0;2;11;7;21;11;17;16;1;32;3;0;12;0;0;0;6;109;21;16;219;6;0;0;0;2;65;12;0;24;38;5;0;18;0;0;9;5;24;11;0;0
embankments;0;0;0;0;0;4;3;42;30;0;0;0;3;0;3;9;21;0;0;0;0;0;22;7;1307;0;0;4;0;0;9;0;2;3;0;0;4;0;2;150;62;0;0;0;0;3;0;30;2;12;0;16;16;2;1;10;0;1;1;0;1;0;15;0;9;1;32;7;9;2;0;0;0;0;76;2;0;16;28;5;0;3;0;0;2;2;6;0;3;0
racetracks;0;0;0;2;0;30;5;8;4;0;0;114;13;50;158;34;106;1;0;0;0;0;73;29;8;99;0;3;0;0;25;0;17;0;0;0;0;0;20;12;88;0;0;1;24;1;1;182;9;9;3;2;19;15;47;34;1;17;67;0;19;0;0;0;92;13;9;1;131;9;0;7;0;44;77;21;0;5;83;0;0;2;0;0;151;1;0;4;0;0
highways and expressways;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;4;1;0;0;0;0;2;222;0;0;1349;1;0;0;7;0;0;0;0;0;0;0;0;3;7;0;0;5;0;0;12;3;2;0;50;0;1;26;13;5;7;34;0;0;2;0;0;0;0;73;11;0;139;0;0;0;0;0;1;0;0;0;9;1;0;5;0;0;0;0;2;0;0;0
artificial basins;0;71;0;0;0;0;8;35;24;0;0;9;1;1;36;17;13;0;0;0;0;0;91;7;7;0;1;966;18;9;13;0;4;14;1;0;7;0;3;116;38;0;0;0;5;3;0;5;0;13;2;0;26;0;16;7;1;2;6;7;17;0;5;0;4;1;8;10;11;5;0;0;0;9;49;8;0;15;17;0;0;1;0;0;12;9;14;8;194;0
natural basins;0;0;0;0;0;0;0;0;108;0;0;34;0;0;21;1;3;0;0;0;0;0;3;0;0;0;0;239;15;599;0;0;4;4;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;3;0;5;0;0;3;0;9;0;0;0;0;0;0;0;7;5;3;2;0;0;0;0;0;4;0;0;6;7;2;0;4;0;0;0;0;0;0;0;0
production basins;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ruderal thickets;0;0;0;0;0;0;84;34;0;0;0;2;20;0;2;1;36;0;0;0;0;0;2;57;12;3;3;10;0;0;523;0;60;105;1;0;98;0;2;24;15;0;0;3;3;9;13;2;10;49;0;0;17;0;2;21;1;16;13;10;30;2;24;0;7;16;4;4;39;38;0;0;0;25;106;77;0;94;45;8;0;50;0;0;40;7;108;8;5;0
forests with a prevalence of beech trees;0;0;0;0;0;0;2;0;0;0;0;0;22;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1525;194;0;16;52;0;0;1;0;0;109;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;24;7;0;0;0;1;3;0;3;0;1;0;1;0;2;0;0;0;1;1;0;25;0;0;0;2;0
woods with a prevalence of oaks, hornbeams and chestnuts;0;0;0;0;0;0;18;13;0;0;0;19;53;15;0;2;0;0;0;0;0;0;1;0;0;2;0;4;0;0;25;44;1279;13;19;109;7;2;0;1;0;135;0;0;0;3;0;0;0;2;0;0;4;0;0;0;0;0;1;1;0;0;0;0;18;0;0;0;14;26;0;1;0;26;2;6;0;16;2;0;0;6;0;0;103;1;7;0;0;0
woods with a prevalence of willows and poplars;0;0;0;0;0;0;52;333;17;0;0;3;3;1;6;3;12;0;0;0;0;0;3;15;21;0;0;28;1;0;310;0;88;325;4;2;182;4;0;35;4;0;0;2;0;5;2;1;0;9;0;1;24;0;2;5;1;5;9;1;39;0;60;0;8;12;0;4;19;53;0;3;0;4;53;14;0;36;16;0;0;8;0;0;71;5;43;2;31;0
coniferous forests;0;0;0;0;0;0;4;8;0;0;0;14;4;21;2;2;0;1;0;0;0;0;2;0;0;3;0;1;0;0;2;6;180;5;895;687;0;3;0;0;0;5;3;1;0;0;0;0;0;0;0;0;2;0;0;1;0;2;1;1;0;0;0;5;6;0;0;0;10;13;0;1;0;3;1;2;0;8;0;4;0;44;0;0;44;0;1;2;0;0
mixed coniferous and broad-leaved forests;0;0;0;0;0;0;4;22;0;0;0;31;15;33;2;8;0;1;0;0;0;0;2;0;0;0;0;0;0;0;9;46;434;18;270;917;0;0;0;0;0;18;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;27;0;0;0;2;5;0;11;0;13;0;9;0;9;1;0;0;2;0;0;76;0;5;5;0;0
lowland woods with a prevalence of oaks and ashes;0;7;0;0;0;0;121;18;0;0;0;0;1;0;0;3;13;0;0;0;0;0;6;5;9;1;0;43;0;0;104;0;8;104;0;0;766;0;0;113;2;0;0;0;0;4;0;1;0;8;0;1;12;0;4;5;0;1;3;0;19;0;64;0;0;2;2;0;4;123;0;0;0;2;192;9;0;26;13;0;0;4;0;0;15;2;84;37;39;0
campsites and tourist accommodation facilities;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;2;0;0;0;0;3;0;0;3;0;0;0;0;0;0;99;21;179;256;0;10;0;0;0;0;0;5;0;0;0;0;0;0;0;1;4;0;0;0;0;0;3;0;0;0;0;0;3;0;0;8;7;0;0;0;0;3;0;0;0;85;0;7;0;128;0;0;0;0;1;0;0;0
golf courses;0;0;0;0;0;0;3;1;1;0;0;0;0;0;1;0;20;0;0;0;0;0;297;5;0;0;0;118;1;0;7;0;6;6;0;0;0;1;1050;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;14;1;2;127;0;41;2;0;0;3;13;6;0;25;14;0;0;0;0;6;8;0;13;3;1;0;7;0;0;21;0;165;5;0;0
canals and waterways;0;9;0;1;0;6;4;16;9;0;0;0;1;0;3;0;17;0;0;0;0;0;8;30;36;0;3;124;0;0;19;0;0;8;0;0;8;0;0;1363;4;0;0;1;5;5;0;3;0;7;0;5;23;1;5;8;1;4;5;0;6;0;10;0;3;2;7;20;32;4;0;0;0;0;88;7;0;15;20;2;0;7;0;0;3;5;6;0;21;0
construction sites and excavations;0;0;0;5;0;11;1;1;16;0;0;5;2;2;61;7;71;0;0;0;0;0;13;7;4;3;1;2;0;0;5;0;5;2;0;0;0;0;0;4;858;0;0;15;28;4;22;35;34;1;32;3;125;44;7;30;1;102;22;1;12;1;5;0;9;21;25;2;47;1;0;1;0;26;72;9;0;31;92;18;1;11;0;0;1;2;12;9;0;0
fruit chestnut trees;0;0;0;0;0;0;22;3;0;0;0;0;17;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;203;702;12;2;19;0;0;0;0;0;929;0;1;0;3;0;0;0;4;0;0;0;0;0;3;0;0;0;3;0;0;0;0;23;0;0;0;2;4;0;0;0;16;0;8;0;6;0;0;0;1;0;0;10;0;3;0;0;0
bushes and shrubs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cemeteries;0;0;0;0;0;4;5;0;0;0;0;0;8;0;0;0;9;0;0;0;0;0;34;4;4;1;0;1;0;0;4;0;6;0;1;0;0;8;0;2;13;0;0;755;0;0;1;2;1;0;0;0;203;18;11;112;8;55;44;0;33;0;0;0;2;23;20;3;99;0;0;0;0;8;25;4;0;159;13;88;5;140;0;0;2;0;50;12;0;0
horticultural crops;0;0;0;0;0;2;8;2;0;0;0;0;2;0;0;0;18;0;0;0;0;0;6;1;9;0;1;4;0;0;2;0;1;1;0;0;1;0;0;14;27;0;0;5;1304;5;1;0;1;27;4;29;53;3;3;3;0;8;17;1;0;0;12;4;6;4;3;0;18;0;4;2;0;9;211;18;0;29;8;4;0;6;0;0;1;18;1;78;1;0
temporary crops associated with permanent crops;0;1;0;0;0;0;48;1;2;0;0;3;60;0;2;17;147;0;0;0;0;0;43;8;8;0;0;4;0;0;12;0;18;5;0;0;16;0;2;33;20;0;0;8;6;194;4;4;0;44;0;2;39;1;11;31;1;3;71;7;95;1;13;0;93;3;9;1;18;41;0;0;0;104;260;152;0;68;99;7;0;19;0;0;21;21;79;12;8;0
scrap yards;0;0;0;0;0;0;0;0;0;0;0;0;11;0;21;6;2;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;117;0;0;1;0;1;35;2;1;0;15;0;31;210;1;15;2;382;0;0;0;0;0;0;0;39;6;1;19;0;0;0;0;0;1;0;0;18;39;0;0;2;0;0;0;0;0;0;0;0
municipal solid waste landfills;0;0;0;12;0;15;31;0;0;0;0;0;0;0;1;0;109;0;0;0;0;0;13;13;15;0;6;4;0;0;0;0;6;0;0;1;85;0;2;41;71;0;0;1;18;17;9;214;12;17;1;180;138;31;26;26;3;175;43;0;10;0;4;0;53;7;65;8;22;115;0;0;0;0;33;17;0;50;147;0;0;4;0;0;1;4;66;47;11;0
landfills and warehouses of quarries, mines and industries;0;0;0;0;0;2;0;7;7;0;0;21;11;125;55;702;6;0;0;0;0;0;16;1;0;31;0;12;0;0;0;0;6;0;0;0;0;0;0;2;10;0;0;0;0;0;0;55;109;0;0;0;11;0;1;0;0;17;56;0;0;0;0;0;167;10;0;0;16;8;0;0;0;315;2;5;0;16;78;0;0;0;0;0;120;0;0;0;0;0
orchards;0;0;0;2;0;4;35;2;0;0;0;0;6;0;0;1;23;0;0;0;0;0;7;0;4;0;0;7;0;0;9;0;2;3;0;0;5;1;1;8;7;0;0;1;7;11;0;1;0;1222;1;0;31;0;0;0;0;1;21;27;12;1;41;0;8;2;5;0;5;14;0;0;0;15;46;57;0;41;5;2;0;7;0;0;15;230;24;20;0;0
goods sorting systems;0;0;0;5;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;0;0;0;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;1;0;5;0;0;0;149;1;39;103;8;4;9;1532;1;0;0;0;0;0;0;9;16;1;32;0;0;0;0;0;0;0;0;0;8;7;0;3;0;0;0;0;0;10;1;0
photovoltaic systems;0;0;0;32;0;8;0;0;0;0;0;0;0;0;1;0;7;0;0;0;0;0;0;0;5;2;2;2;0;0;0;0;1;0;2;0;0;0;1;5;6;0;0;3;2;0;0;1;0;0;15;1768;23;0;0;0;0;13;0;0;0;0;0;0;2;0;17;2;7;0;0;0;0;30;24;2;0;2;12;0;0;0;0;0;0;0;3;0;0;0
agro-zootechnical settlements;0;1;0;3;0;7;4;0;0;0;0;1;7;0;5;0;16;1;0;0;0;0;36;11;7;5;1;14;0;0;4;0;3;0;0;1;1;1;0;22;46;0;0;61;6;4;7;7;5;13;1;4;810;20;32;39;3;93;77;6;8;3;2;0;12;8;66;6;27;7;0;2;0;26;34;19;0;209;49;23;0;59;0;0;5;9;26;12;3;0
commercial settlements;0;1;0;2;0;12;0;0;1;0;0;0;0;0;0;0;28;0;0;0;0;0;17;6;0;0;16;2;0;0;2;0;0;0;0;0;0;0;0;4;41;0;0;21;0;0;17;16;4;1;46;0;88;572;14;111;81;524;10;0;9;4;0;0;0;18;21;3;150;4;0;0;0;0;6;1;0;11;31;73;10;16;0;0;0;0;5;1;0;0
installations of technological systems;0;3;0;0;0;22;37;13;5;0;0;0;3;0;3;2;43;0;0;0;0;0;12;24;58;0;0;29;0;0;33;0;14;14;0;2;16;0;0;125;22;0;0;4;3;2;13;9;3;3;1;2;253;11;337;97;2;61;12;0;61;0;21;0;24;12;44;18;125;37;0;0;0;4;67;38;0;121;47;1;0;11;0;0;11;3;11;19;32;0
service settlements;0;0;0;0;0;4;13;12;2;0;0;2;4;0;2;21;74;0;0;0;0;0;102;10;7;1;3;5;0;0;17;1;17;101;0;2;94;3;5;11;34;0;0;68;1;1;2;7;0;7;4;0;84;65;19;282;57;117;28;1;106;4;6;0;4;9;25;6;99;19;0;0;0;5;11;8;0;79;31;105;20;87;0;0;7;0;71;7;1;0
hospital settlements;0;0;0;4;0;4;5;0;0;0;0;0;1;0;1;0;21;0;0;0;0;0;18;28;2;0;7;6;0;0;1;0;0;0;0;0;0;0;0;14;17;0;0;16;0;0;0;9;0;0;14;0;53;124;15;318;13;96;6;0;73;0;0;0;18;14;66;5;265;45;0;0;0;0;13;3;0;16;4;201;63;224;0;0;0;0;159;5;0;0
production facilities;0;1;0;6;1;3;0;2;1;0;0;1;3;0;13;0;40;0;0;0;0;0;15;12;2;0;1;33;0;0;8;0;1;0;0;0;0;1;0;6;50;0;0;11;2;0;15;8;6;0;100;2;99;202;29;79;11;905;13;0;10;0;0;0;0;46;24;3;95;1;0;0;0;1;7;3;0;11;52;32;3;23;0;0;2;0;4;1;0;0
racecourses;0;0;0;0;0;6;9;0;1;0;0;0;4;0;3;3;52;0;0;0;0;0;213;0;13;8;1;14;0;0;12;0;2;9;0;0;9;0;142;24;50;0;0;53;7;6;0;4;3;45;1;1;164;0;10;45;0;14;354;3;84;4;3;0;16;3;14;5;26;13;0;0;0;19;159;51;0;91;61;4;0;21;0;0;0;24;108;7;2;0
olive groves;0;0;0;3;0;12;19;0;0;0;7;6;5;0;0;0;16;0;0;0;0;0;31;4;0;7;0;1;0;0;5;0;8;0;1;1;1;0;22;0;2;0;0;31;0;1;1;6;0;161;0;0;3;0;0;2;0;0;213;726;70;0;0;0;24;1;0;0;12;11;0;0;0;68;31;154;0;67;2;0;0;9;0;0;24;146;84;2;0;0
parks;0;0;0;2;0;0;13;7;2;0;0;0;2;0;0;0;214;0;0;0;0;0;146;27;12;1;1;4;0;0;21;0;3;3;18;6;21;0;3;17;30;0;0;27;1;8;1;8;2;4;5;0;36;12;8;152;21;21;34;0;486;1;4;0;4;3;11;3;60;23;0;0;0;2;9;17;0;53;31;83;2;119;0;0;4;1;169;17;5;0
amusement parks;0;2;0;0;0;19;4;1;7;0;0;9;11;14;52;46;82;0;0;0;0;0;130;4;0;37;0;383;0;6;2;0;20;4;2;0;0;11;118;2;38;0;0;8;2;6;0;18;2;6;0;1;23;0;3;25;0;18;144;18;73;0;0;0;43;3;4;7;69;21;0;0;0;82;24;60;0;69;12;1;0;37;0;0;76;17;115;9;0;0
cultivated poplar groves;0;0;0;0;0;0;94;72;10;0;0;0;0;0;0;1;6;0;0;0;0;0;0;1;43;0;0;0;0;0;11;0;0;30;0;0;58;0;0;22;12;0;0;0;10;4;0;0;0;27;0;3;6;0;0;0;0;1;0;0;2;0;1366;0;2;0;2;1;5;43;0;0;0;4;95;2;0;7;6;0;0;4;0;0;12;28;4;3;3;0
high altitude prairies and moors;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;27;0;0;2;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1875;0;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
stable meadows;0;0;0;2;0;8;15;4;0;0;0;16;138;4;3;4;25;0;0;0;0;0;18;1;4;6;1;2;0;0;2;7;51;2;2;3;0;0;4;6;3;6;0;5;0;48;0;1;0;7;0;0;20;0;0;3;0;1;17;21;7;0;7;2;615;1;4;1;13;15;0;0;0;587;86;42;0;37;4;3;0;6;0;0;85;15;8;0;2;0
