;aquacultures;aquaculture in a continental environment;aquaculture in the marine environment;commercial airports;military airports;sport flight airports and heliports;other wood crops;riverbeds and streams with abundant vegetation;riverbeds and streams with sparse vegetation;bathing areas;archaeological areas;gully areas;areas with agricultural crops and important natural spaces;areas with sparse other vegetation;active mining areas;inactive mining areas;urban waste areas;areas for telecommunications systems;areas affected by fires;commercial port areas;port areas for pleasure;port areas for fishing;sports areas;green areas associated with roads;embankments;racetracks;highways and expressways;artificial basins;natural basins;production basins;ruderal thickets;forests with a prevalence of beech trees;woods with a prevalence of oaks, hornbeams and chestnuts;woods with a prevalence of willows and poplars;coniferous forests;mixed coniferous and broad-leaved forests;lowland woods with a prevalence of oaks and ashes;campsites and tourist accommodation facilities;golf courses;canals and waterways;construction sites and excavations;fruit chestnut trees;bushes and shrubs;cemeteries;horticultural crops;temporary crops associated with permanent crops;scrap yards;municipal solid waste landfills;landfills and warehouses of quarries, mines and industries;orchards;goods sorting systems;photovoltaic systems;agro-zootechnical settlements;commercial settlements;installations of technological systems;service settlements;hospital settlements;production facilities;racecourses;olive groves;parks;amusement parks;cultivated poplar groves;high altitude prairies and moors;stable meadows;railway networks;networks for energy distribution and production;water distribution networks;road networks;recent reforestation;rice fields;bare rocks, cliffs and outcrops;salt pans;non-irrigated arable land;simple irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;isolated residential structures;reworked and artefacted soils;sparse residential fabric;compact and dense residential fabric;urban residential fabric;peat bogs;brackish valleys;shrubby and arboreal vegetation with scattered trees;vineyards;villas;nurseries;internal wetlands;brackish wetlands
port areas for pleasure;0;22;0;0;0;0;0;0;56;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;85;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;18;17;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0
port areas for fishing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sports areas;0;32;0;4;0;4;6;5;6;0;0;0;16;3;3;3;34;0;0;0;0;0;815;1;5;6;3;35;0;1;2;0;7;1;0;2;2;9;33;22;16;0;1;26;5;9;1;10;0;26;1;4;58;19;19;99;6;38;32;6;73;19;3;25;41;5;4;10;44;0;0;10;0;18;27;24;0;33;16;33;0;67;0;0;3;20;65;12;12;0
green areas associated with roads;0;0;0;4;0;2;10;1;0;0;0;0;9;0;4;3;144;0;0;0;0;0;6;829;5;0;188;4;0;0;46;0;5;5;0;0;8;0;0;29;16;0;0;17;7;3;0;9;4;1;12;3;9;6;13;24;2;16;3;0;15;0;2;0;21;101;6;2;161;10;0;0;0;5;85;32;0;13;36;6;0;29;0;0;6;4;8;10;1;0
embankments;0;0;0;19;0;1;3;28;33;0;0;0;5;0;4;3;40;0;0;0;0;0;8;13;1216;0;0;1;0;0;26;0;0;7;0;0;3;0;1;118;17;0;0;2;3;11;1;33;1;9;0;2;16;1;5;6;2;2;1;1;11;1;47;0;23;0;17;12;12;2;0;2;0;14;120;16;0;18;26;1;0;4;0;0;5;4;5;0;18;0
racetracks;0;0;0;14;8;38;7;11;13;0;0;280;24;42;29;1;93;0;0;0;0;0;43;25;1;116;5;18;0;0;0;0;12;1;0;1;0;1;3;2;146;0;0;12;7;12;1;26;0;57;1;0;27;29;17;2;5;37;54;6;0;0;5;0;102;7;6;16;95;1;0;16;0;143;74;91;0;17;28;1;0;2;0;0;141;1;12;15;0;0
highways and expressways;0;0;0;20;0;0;0;0;6;0;0;0;0;0;8;0;11;0;0;0;0;0;2;194;0;0;1356;2;0;0;4;0;0;0;0;0;2;0;0;4;0;0;0;6;0;0;2;1;0;0;29;1;0;20;9;2;5;44;0;0;2;0;0;0;0;64;1;0;176;0;0;0;0;0;11;1;0;2;3;1;0;3;0;0;0;0;2;6;0;0
artificial basins;0;86;0;1;0;0;5;31;54;0;0;14;0;0;91;5;14;0;0;0;0;0;58;12;9;0;3;795;18;4;9;0;5;19;2;1;13;0;3;114;13;1;0;0;28;3;0;1;0;18;1;4;27;2;5;3;1;1;7;3;15;1;4;0;11;2;3;26;3;2;3;0;0;22;57;9;0;21;17;0;0;2;0;0;12;6;18;5;277;0
natural basins;0;0;0;0;0;0;2;8;254;0;0;32;0;0;16;0;1;0;0;0;0;0;0;0;0;0;23;86;0;645;0;0;10;1;0;0;0;1;0;0;12;0;0;0;0;0;0;0;1;0;0;0;0;4;1;5;0;2;0;0;0;0;0;0;0;2;1;0;2;0;0;3;0;0;0;1;0;0;1;2;0;3;0;0;0;0;0;4;0;0
production basins;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ruderal thickets;0;0;0;5;1;0;135;108;14;0;0;27;28;0;3;1;32;0;0;0;0;0;10;52;15;4;3;11;0;0;332;0;89;145;0;2;137;2;4;31;14;0;0;2;2;11;7;3;3;16;0;1;10;1;1;8;4;11;14;6;29;0;36;0;11;8;3;3;20;39;0;0;0;23;106;83;0;54;39;15;2;48;0;0;50;16;88;7;15;0
forests with a prevalence of beech trees;0;0;0;0;0;0;3;0;0;0;0;0;44;6;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;1;0;1619;70;0;20;58;0;1;0;0;0;71;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;14;0;0;0;3;10;1;5;0;5;0;1;0;6;0;0;1;3;4;0;25;0;0;0;0;0
woods with a prevalence of oaks, hornbeams and chestnuts;0;0;0;0;0;0;12;27;1;0;0;26;83;10;0;4;0;0;0;0;0;0;1;0;0;0;0;2;0;1;12;70;1221;39;28;96;3;1;2;0;0;84;0;1;0;2;1;0;0;0;0;0;2;0;1;0;0;0;1;1;5;0;0;1;39;0;0;3;4;27;0;10;0;31;0;6;0;16;2;1;1;7;0;0;97;0;17;0;1;0
woods with a prevalence of willows and poplars;0;5;0;0;0;0;46;424;36;0;0;8;17;2;4;4;12;2;0;0;0;0;3;12;19;0;2;15;0;0;180;0;104;330;1;1;159;4;3;38;0;2;1;3;3;3;3;3;2;3;0;1;12;0;3;8;0;5;3;2;55;0;56;0;6;5;3;4;17;40;0;0;0;3;65;8;0;17;32;0;0;11;0;0;96;4;35;6;49;0
coniferous forests;0;0;0;0;0;0;2;13;0;0;0;14;12;12;1;4;0;0;0;0;0;0;4;0;0;0;0;7;0;0;0;22;110;7;892;731;0;3;0;0;0;2;2;1;0;0;0;0;2;0;0;0;0;0;0;3;0;0;1;0;6;0;0;1;17;3;0;0;13;23;1;3;0;4;0;3;0;14;4;11;0;21;0;0;29;0;2;0;0;0
mixed coniferous and broad-leaved forests;0;0;0;0;0;0;4;44;0;0;0;31;27;42;6;3;0;0;0;0;0;0;1;0;0;3;0;0;0;0;7;52;435;11;233;866;0;1;0;0;0;17;0;0;0;1;0;0;0;3;0;0;0;0;0;2;0;0;2;0;0;0;0;0;35;0;1;1;2;15;0;7;0;14;0;2;0;14;7;3;0;4;0;0;95;1;5;2;1;0
lowland woods with a prevalence of oaks and ashes;0;12;0;1;0;0;123;33;0;0;0;0;1;0;1;0;3;0;0;0;0;0;4;8;10;0;0;26;0;0;62;0;2;74;0;0;783;3;4;165;0;0;0;1;2;7;1;0;1;30;0;0;7;0;2;8;0;0;1;0;27;2;41;0;7;3;0;3;3;90;0;0;0;1;183;7;0;40;14;0;0;7;0;0;33;8;64;43;49;0
campsites and tourist accommodation facilities;0;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;148;50;91;40;0;65;0;0;0;2;0;0;0;2;0;0;0;9;0;0;4;0;0;4;0;1;48;0;6;0;0;0;5;3;0;0;9;8;0;0;0;9;0;7;0;176;33;1;0;98;0;0;1;0;3;0;0;0
golf courses;0;0;0;1;0;1;18;22;0;0;0;0;0;0;0;4;32;0;0;0;0;0;222;3;0;0;0;127;0;0;1;0;3;14;1;0;0;1;912;6;7;0;0;0;0;1;4;0;0;4;0;0;1;0;0;34;2;4;69;2;49;7;0;0;2;11;3;3;18;13;0;0;0;2;5;59;0;20;0;5;0;26;0;0;15;3;258;5;0;0
canals and waterways;0;11;0;2;0;1;4;24;10;0;0;0;2;0;6;1;13;0;0;0;0;0;4;23;38;0;0;61;2;0;19;0;0;11;0;0;13;1;2;1303;3;0;0;0;8;7;2;1;5;7;0;7;14;1;7;2;1;5;7;1;7;1;3;0;5;3;2;36;31;8;1;0;0;2;126;11;0;17;20;3;0;5;0;0;3;7;14;14;52;0
construction sites and excavations;0;0;0;2;0;8;1;5;24;0;2;7;2;0;92;5;97;0;0;0;0;0;16;13;9;2;5;1;0;0;7;0;4;0;0;0;0;0;1;16;745;0;0;17;30;0;13;27;47;10;32;0;65;36;10;32;15;91;34;0;12;2;8;0;15;31;17;4;49;3;1;3;0;27;119;9;0;33;78;4;2;21;0;0;0;11;16;11;1;0
fruit chestnut trees;0;0;0;0;0;0;19;2;0;0;0;0;21;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;5;283;699;4;1;28;0;3;0;0;0;839;0;1;0;1;0;0;0;2;0;0;1;0;0;4;0;0;0;3;0;0;0;0;19;0;0;0;0;0;0;0;0;6;0;3;0;6;0;2;0;3;0;0;40;0;2;0;0;0
bushes and shrubs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cemeteries;0;2;0;2;7;4;9;0;0;0;0;0;3;0;0;1;10;0;0;0;0;0;42;2;3;2;0;0;0;0;4;0;12;0;1;2;3;0;0;2;23;0;0;710;6;7;13;6;6;2;0;3;137;24;7;69;6;39;24;0;22;3;4;0;15;9;10;4;77;2;0;0;0;12;43;4;0;190;19;111;9;205;0;0;1;1;50;16;0;0
horticultural crops;0;3;0;0;0;4;3;1;1;0;0;0;0;1;2;0;15;0;0;0;0;0;6;3;4;1;0;6;1;0;11;0;0;2;0;0;0;0;1;22;34;0;0;8;1359;3;1;4;2;43;7;13;31;1;2;1;0;2;13;0;1;0;30;0;2;10;2;1;10;4;2;16;0;7;133;47;0;23;15;2;0;4;0;0;1;13;3;55;8;0
temporary crops associated with permanent crops;0;0;0;6;0;13;49;7;14;0;0;5;49;0;43;6;44;0;0;0;0;0;37;17;29;3;1;4;0;0;28;0;5;6;0;0;4;0;3;59;29;6;0;8;32;197;1;4;4;22;0;3;15;0;17;6;0;5;57;7;112;3;24;12;155;1;8;3;12;53;1;0;0;97;233;179;0;62;55;3;0;27;0;0;32;35;42;3;3;0
scrap yards;0;0;0;0;0;0;0;0;0;0;0;0;1;0;23;1;6;0;0;0;0;0;1;5;0;0;15;0;0;0;3;0;15;0;0;0;0;0;0;0;41;1;0;0;0;0;36;0;3;0;37;0;3;139;2;60;4;421;0;0;0;0;0;0;1;81;0;0;47;0;0;0;0;0;9;0;0;25;2;0;0;2;0;0;5;0;0;0;0;0
municipal solid waste landfills;0;0;0;5;0;7;31;3;12;0;0;0;6;0;4;1;158;0;0;0;0;0;3;11;11;4;30;13;0;0;12;0;5;12;1;0;77;2;0;50;36;0;0;6;33;47;2;164;27;7;0;199;130;28;10;26;0;179;23;0;28;2;28;0;26;3;66;1;26;101;1;1;0;2;113;21;0;10;77;4;0;10;0;0;13;3;56;20;13;0
landfills and warehouses of quarries, mines and industries;0;0;0;0;0;0;1;11;5;0;0;3;19;95;20;284;12;0;0;0;0;0;10;1;0;52;1;24;0;0;0;0;4;0;0;0;0;0;6;0;0;1;0;1;1;1;1;199;72;0;7;0;13;1;0;1;2;16;2;0;0;0;1;0;364;9;5;0;39;16;0;20;0;492;1;4;0;12;63;1;0;1;0;0;98;0;3;0;5;0
orchards;0;3;0;7;0;0;38;0;0;0;0;6;9;0;2;0;11;0;0;0;0;0;3;8;11;1;0;2;0;0;6;0;5;3;0;2;2;0;0;7;12;2;0;3;7;12;0;1;4;1177;0;0;18;0;1;1;0;2;21;26;9;0;52;0;14;0;1;0;3;40;0;0;0;19;65;55;0;28;16;2;0;13;0;0;12;221;15;19;3;0
goods sorting systems;0;0;0;26;0;0;0;0;0;0;0;0;0;0;11;0;6;0;0;0;0;0;3;6;1;0;1;2;0;0;0;1;0;0;0;0;0;0;0;3;19;0;0;0;14;0;3;3;0;0;59;1;33;31;2;17;2;1634;0;0;1;0;0;0;0;7;14;0;52;0;0;0;0;0;3;1;0;0;16;4;2;3;0;0;0;0;0;17;2;0
photovoltaic systems;0;1;0;66;0;0;0;0;1;0;0;0;0;0;2;4;21;0;0;0;0;0;1;1;19;0;0;6;0;2;0;0;2;0;0;0;0;0;0;14;2;0;0;1;7;0;3;5;1;1;0;1709;8;8;0;1;0;11;2;0;0;2;0;0;11;0;2;3;1;0;0;1;0;16;48;0;0;2;6;0;0;0;0;0;4;0;5;0;0;0
agro-zootechnical settlements;0;3;0;6;0;7;7;1;1;0;0;7;9;0;9;1;21;1;0;0;0;0;27;5;6;6;3;25;0;0;13;0;4;3;0;0;2;1;1;16;49;1;0;56;16;7;10;9;9;12;2;0;762;27;15;48;5;75;88;5;10;0;5;0;12;8;42;11;25;5;0;0;0;27;75;27;0;178;59;21;0;45;0;0;5;13;34;14;3;0
commercial settlements;0;2;0;4;0;3;1;0;0;0;0;1;0;0;8;3;19;0;0;0;0;0;18;13;3;6;69;1;0;0;6;0;0;0;0;0;0;0;0;6;26;0;0;25;1;5;18;33;9;1;39;0;69;668;20;92;33;388;12;0;2;1;0;0;0;23;20;2;169;0;0;1;0;4;12;5;0;14;47;54;1;18;0;0;0;1;0;20;4;0
installations of technological systems;0;7;0;0;0;20;7;47;37;0;0;0;25;0;3;11;36;1;0;0;0;0;8;34;140;4;4;27;0;10;24;0;7;8;1;14;45;0;2;144;28;0;0;35;7;3;5;30;0;5;0;0;76;2;303;35;32;38;13;0;18;0;2;0;19;17;63;40;107;35;1;0;0;10;82;43;0;92;98;1;0;19;0;0;18;0;24;21;12;0
service settlements;0;0;0;1;2;1;15;42;2;0;0;2;5;0;8;13;65;0;0;0;0;0;113;13;11;4;7;9;0;1;10;1;77;74;1;3;29;2;3;4;31;0;0;102;0;6;7;6;3;4;3;0;50;75;16;231;81;87;29;1;70;2;8;0;16;21;27;8;64;10;0;2;0;6;20;11;0;80;50;125;15;120;0;0;8;1;61;21;4;0
hospital settlements;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;12;11;7;0;8;21;0;0;3;0;0;0;0;0;0;0;0;21;62;0;0;34;2;23;0;1;4;4;6;0;92;68;4;289;43;208;11;0;87;0;0;0;4;0;19;12;127;49;0;0;0;0;51;18;0;44;9;223;13;287;0;0;1;8;39;8;5;0
production facilities;0;0;0;20;2;6;4;4;12;0;0;0;2;0;12;3;37;0;0;0;0;0;20;14;0;1;11;5;6;2;4;0;0;0;0;1;2;0;0;9;41;0;0;19;1;1;12;9;2;2;93;4;101;209;22;69;10;892;11;0;9;4;1;0;0;38;23;2;83;1;0;1;0;1;14;11;0;16;44;22;9;24;0;0;5;1;4;12;0;0
racecourses;0;2;0;0;0;12;19;8;1;0;0;0;3;0;7;2;41;0;0;0;0;0;131;8;4;9;1;15;2;0;5;0;2;2;0;0;9;2;86;20;46;0;0;37;44;10;1;8;0;67;1;1;126;1;7;91;7;27;283;4;43;7;7;0;45;2;4;7;29;19;0;1;0;24;186;70;0;88;69;6;0;19;0;0;10;21;175;12;4;0
olive groves;0;0;0;36;0;64;2;4;0;0;0;55;5;0;0;0;37;1;0;0;0;0;2;1;0;7;6;20;0;0;7;0;11;3;0;0;0;3;2;0;13;0;0;14;6;8;0;0;2;192;0;0;15;0;0;1;1;0;60;698;20;24;0;0;21;0;64;0;10;6;0;1;0;82;137;133;0;81;1;0;0;20;0;0;17;48;55;4;0;0
parks;0;0;0;6;0;4;18;5;4;0;0;1;3;0;3;2;192;1;0;0;0;0;174;26;7;1;5;1;0;0;18;0;6;11;20;4;18;7;1;13;29;0;0;37;6;16;0;1;2;14;9;0;27;8;13;108;29;17;25;5;505;7;9;0;23;2;7;9;38;14;0;0;0;1;15;41;0;26;27;105;0;115;0;0;2;5;123;25;4;0
amusement parks;0;0;0;2;0;27;0;39;46;0;0;92;9;19;31;8;54;0;0;0;0;0;137;17;0;2;0;358;0;0;9;0;11;20;8;0;1;6;146;8;18;0;0;38;6;0;0;9;0;1;0;5;23;16;11;48;8;46;35;4;6;1;0;0;104;47;3;8;10;1;2;3;0;65;11;106;0;39;49;13;0;55;2;0;40;8;44;63;2;0
cultivated poplar groves;0;0;0;3;0;0;82;87;20;0;0;0;2;0;0;1;5;0;0;0;0;0;1;2;43;3;1;0;0;0;6;0;1;43;0;0;32;1;0;15;10;0;0;0;11;2;1;1;2;26;0;0;5;1;0;1;2;0;3;0;4;3;1339;2;1;0;1;1;2;40;0;3;0;11;77;7;0;9;4;1;0;5;0;0;40;8;5;3;21;0
high altitude prairies and moors;0;0;0;0;0;0;0;0;0;0;0;0;1;43;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;36;0;0;0;10;0;0;0;0;0;0;12;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1873;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
stable meadows;0;0;0;10;0;11;14;4;1;0;0;34;133;5;0;7;12;2;0;0;0;0;14;2;3;10;0;3;0;0;3;8;43;1;2;6;3;0;2;1;3;8;1;8;0;57;0;1;0;15;0;0;19;0;1;1;0;0;4;13;9;0;6;1;698;0;1;4;7;18;0;0;0;505;96;43;0;37;9;2;0;6;0;0;76;10;4;2;1;0
