;aquacultures;aquaculture in a continental environment;aquaculture in the marine environment;commercial airports;military airports;sport flight airports and heliports;other wood crops;riverbeds and streams with abundant vegetation;riverbeds and streams with sparse vegetation;bathing areas;archaeological areas;gully areas;areas with agricultural crops and important natural spaces;areas with sparse other vegetation;active mining areas;inactive mining areas;urban waste areas;areas for telecommunications systems;areas affected by fires;commercial port areas;port areas for pleasure;port areas for fishing;sports areas;green areas associated with roads;embankments;racetracks;highways and expressways;artificial basins;natural basins;production basins;ruderal thickets;forests with a prevalence of beech trees;woods with a prevalence of oaks, hornbeams and chestnuts;woods with a prevalence of willows and poplars;coniferous forests;mixed coniferous and broad-leaved forests;lowland woods with a prevalence of oaks and ashes;campsites and tourist accommodation facilities;golf courses;canals and waterways;construction sites and excavations;fruit chestnut trees;bushes and shrubs;cemeteries;horticultural crops;temporary crops associated with permanent crops;scrap yards;municipal solid waste landfills;landfills and warehouses of quarries, mines and industries;orchards;goods sorting systems;photovoltaic systems;agro-zootechnical settlements;commercial settlements;installations of technological systems;service settlements;hospital settlements;production facilities;racecourses;olive groves;parks;amusement parks;cultivated poplar groves;high altitude prairies and moors;stable meadows;railway networks;networks for energy distribution and production;water distribution networks;road networks;recent reforestation;rice fields;bare rocks, cliffs and outcrops;salt pans;non-irrigated arable land;simple irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;isolated residential structures;reworked and artefacted soils;sparse residential fabric;compact and dense residential fabric;urban residential fabric;peat bogs;brackish valleys;shrubby and arboreal vegetation with scattered trees;vineyards;villas;nurseries;internal wetlands;brackish wetlands
production basins;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ruderal thickets;0;1;0;0;0;1;97;53;9;0;0;32;41;2;3;2;26;0;0;0;0;0;20;52;21;0;2;16;0;0;353;0;63;174;2;8;108;0;34;27;16;1;0;7;6;19;7;1;4;32;1;0;31;0;3;25;1;5;16;14;25;0;45;0;9;15;1;1;29;43;0;0;0;16;45;87;0;51;37;9;2;32;0;0;73;9;108;17;10;0
forests with a prevalence of beech trees;0;0;0;0;0;0;0;2;0;0;0;0;18;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1559;125;1;29;62;0;5;1;0;0;97;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;26;13;0;0;0;3;5;0;2;0;1;0;1;0;2;0;0;0;1;2;0;27;0;2;0;5;0
woods with a prevalence of oaks, hornbeams and chestnuts;0;0;0;0;0;0;7;32;1;0;0;25;70;23;0;0;0;0;0;0;0;0;1;1;1;3;0;10;0;0;13;67;1161;26;36;134;2;3;0;0;0;117;0;2;0;6;0;2;0;0;0;1;3;0;0;2;0;0;2;0;1;0;0;1;37;0;0;1;11;24;0;2;0;19;3;5;0;21;0;0;0;2;0;0;111;1;10;0;0;0
woods with a prevalence of willows and poplars;0;0;0;0;0;0;38;293;30;0;0;33;6;2;7;5;15;0;0;0;0;0;1;7;23;1;0;26;0;0;182;0;97;509;0;11;160;3;4;26;1;0;0;1;2;11;6;3;0;24;0;1;12;0;1;7;0;5;6;1;28;2;58;0;17;6;1;2;12;57;0;0;0;6;31;19;0;15;11;3;0;8;0;0;69;5;59;6;25;0
coniferous forests;0;0;0;0;0;0;0;5;0;0;0;30;13;27;1;6;0;1;0;0;0;0;4;0;0;17;0;1;0;0;3;25;107;9;810;769;0;11;0;0;0;12;2;3;0;0;0;1;0;0;0;0;3;0;2;7;1;0;0;1;0;0;0;0;9;0;4;0;13;17;0;7;0;10;0;5;0;13;1;4;0;17;0;0;27;0;2;0;0;0
mixed coniferous and broad-leaved forests;0;0;0;0;0;0;3;26;0;0;0;58;23;44;1;5;0;0;0;0;0;0;3;0;0;2;0;4;0;0;7;53;368;28;263;891;2;1;1;0;0;23;0;2;1;0;0;0;0;1;0;2;0;0;0;1;0;0;1;0;1;0;2;0;32;0;0;0;7;15;0;3;0;17;0;4;0;10;0;0;1;6;0;0;81;1;4;2;0;0
lowland woods with a prevalence of oaks and ashes;0;13;0;0;0;11;84;34;1;0;0;0;7;0;0;0;5;0;0;0;0;0;0;11;12;0;2;43;0;0;85;0;7;69;0;0;813;2;0;111;0;0;0;2;0;6;1;2;1;15;0;2;11;0;2;1;0;1;2;0;8;4;80;0;3;1;0;1;3;160;0;0;0;0;109;11;0;17;7;1;0;5;0;0;21;10;71;55;77;0
campsites and tourist accommodation facilities;0;0;0;0;0;0;0;0;0;0;0;0;22;4;0;0;0;15;0;0;0;0;4;0;0;0;0;0;0;0;0;0;155;0;70;188;0;10;0;0;0;10;0;1;0;2;0;0;0;0;0;1;26;0;0;29;1;7;0;0;0;0;0;0;0;0;6;0;37;1;0;2;0;7;0;2;0;99;0;14;0;119;0;0;0;0;1;0;0;0
golf courses;0;0;0;0;0;0;7;6;1;0;0;0;1;0;0;0;16;0;0;0;0;0;177;0;0;0;0;129;0;0;8;0;1;1;1;1;1;3;962;8;0;0;0;0;0;1;0;0;4;4;0;0;4;0;0;26;0;7;322;4;27;16;0;0;2;11;0;3;21;23;0;0;0;1;3;26;0;20;2;9;0;7;0;0;3;6;120;4;1;0
canals and waterways;0;30;0;2;0;7;10;27;13;0;0;0;3;0;3;2;14;0;0;0;0;0;3;29;62;0;2;79;1;0;10;0;0;7;0;0;10;0;3;1309;1;0;0;1;8;5;1;4;0;10;3;5;19;0;9;6;0;9;7;0;4;1;12;0;15;3;4;21;31;7;0;0;0;1;64;9;0;18;23;2;0;2;0;0;3;7;8;3;48;0
construction sites and excavations;0;2;0;12;0;7;2;0;18;0;0;0;2;0;118;3;73;0;0;0;0;0;10;16;9;2;18;6;0;0;1;0;4;3;0;0;1;0;0;4;669;0;0;13;52;3;16;67;42;7;37;1;88;43;15;38;11;97;18;1;5;10;14;0;11;37;14;14;51;5;4;2;0;21;43;13;0;32;109;23;1;21;0;0;4;7;2;19;9;0
fruit chestnut trees;0;0;0;0;0;0;7;3;0;0;0;2;35;2;0;1;0;0;0;0;0;0;0;0;0;2;0;6;0;1;9;214;707;15;1;20;0;0;1;0;0;834;0;1;0;8;0;0;0;2;0;0;0;0;0;1;0;0;1;1;0;0;2;0;45;0;0;0;2;27;0;3;0;10;1;2;0;12;0;1;0;0;0;0;18;0;3;0;0;0
bushes and shrubs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cemeteries;0;0;0;6;0;8;7;0;1;0;0;0;11;0;4;0;15;0;0;0;0;0;28;1;4;1;3;0;0;0;2;0;2;0;2;4;2;5;0;4;32;0;0;589;1;5;13;4;5;2;0;0;183;29;17;137;13;44;50;0;30;1;3;0;7;22;12;20;108;1;0;0;0;17;24;11;0;131;29;121;12;141;0;0;1;7;54;14;0;0
horticultural crops;0;0;0;2;0;2;0;2;3;0;0;2;2;1;4;2;7;0;0;0;0;0;7;9;12;0;1;6;0;0;0;0;3;4;0;0;1;2;2;18;37;0;0;5;1308;5;3;1;3;51;10;21;51;3;0;2;0;4;6;3;5;0;80;3;5;4;5;1;12;1;5;0;0;16;98;38;0;27;12;2;0;14;0;0;6;14;3;41;3;0
temporary crops associated with permanent crops;0;0;0;2;1;24;47;13;3;0;0;2;35;0;31;6;79;0;0;0;0;0;38;18;42;6;0;3;0;0;18;0;19;8;1;0;8;0;1;26;37;4;0;4;4;231;1;7;10;48;0;4;27;0;8;24;2;8;99;17;61;66;31;0;107;4;1;9;22;50;0;2;0;86;135;136;0;94;78;9;0;24;0;0;15;37;42;21;4;0
scrap yards;0;0;0;0;0;0;0;0;0;0;0;2;4;1;4;0;1;0;0;0;0;0;0;5;0;1;7;0;0;0;0;0;5;0;0;0;0;0;1;0;44;0;0;0;0;0;45;11;0;0;92;0;38;250;1;9;3;280;1;0;0;0;0;0;1;89;0;0;39;0;0;0;0;5;3;1;0;28;5;4;2;0;0;0;2;0;0;5;0;0
municipal solid waste landfills;0;1;0;3;0;0;8;3;15;0;0;0;30;0;19;11;99;0;0;0;0;0;11;10;21;11;15;12;0;0;5;0;1;2;0;3;65;16;4;36;13;0;0;3;29;32;21;230;47;5;4;103;97;40;12;38;0;109;7;0;19;2;34;0;100;25;114;115;33;50;0;0;0;0;49;81;0;15;52;2;0;14;0;0;2;3;22;25;52;0
landfills and warehouses of quarries, mines and industries;0;0;0;0;0;7;0;4;41;0;8;34;17;32;80;212;11;0;0;0;0;0;113;8;0;57;15;1;0;0;0;0;17;0;1;0;0;0;4;0;4;0;0;0;3;3;4;3;129;11;0;6;31;0;2;0;0;27;89;6;0;0;0;0;199;1;2;66;68;13;0;19;0;412;5;6;0;17;35;0;0;2;0;0;157;0;0;13;5;0
orchards;0;2;0;0;0;9;56;1;0;0;0;0;12;1;2;1;9;0;0;0;0;0;11;1;12;2;0;9;0;0;5;0;6;1;0;0;5;0;2;14;9;1;0;5;14;15;0;3;2;1158;0;1;14;0;0;6;0;3;30;24;13;1;65;0;17;1;3;3;3;27;0;0;0;20;38;53;0;38;11;1;0;9;0;0;9;206;21;14;1;0
goods sorting systems;0;1;0;2;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;11;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;5;44;0;0;0;0;0;74;0;3;0;116;0;21;210;5;9;0;1261;0;0;0;1;0;0;0;1;4;0;22;0;0;0;0;0;0;0;0;0;20;11;0;0;0;0;0;0;0;173;0;0
photovoltaic systems;0;0;0;72;0;2;1;0;1;0;0;0;0;0;2;3;4;0;0;0;0;0;1;4;12;0;1;2;0;0;0;0;0;0;0;0;0;0;0;7;2;0;0;2;1;0;0;9;1;0;4;1749;15;6;1;3;0;14;2;0;1;0;1;0;7;2;12;1;3;1;0;0;0;13;14;2;0;3;14;0;0;0;0;0;0;3;0;0;2;0
agro-zootechnical settlements;0;2;0;16;0;6;2;1;3;0;1;2;12;1;5;2;22;0;0;0;0;0;30;10;10;2;4;26;0;0;7;0;4;1;0;1;1;1;1;16;62;1;0;47;13;5;10;6;7;19;6;9;734;27;23;39;3;88;102;8;16;1;3;0;17;6;57;14;35;6;0;1;0;18;37;17;0;177;39;22;1;57;0;0;3;21;35;18;1;0
commercial settlements;0;2;0;19;0;14;2;2;0;0;0;1;0;0;7;1;20;0;0;0;0;0;35;19;5;1;11;1;0;0;6;0;0;0;0;0;0;0;0;2;20;0;0;23;1;0;29;19;20;0;53;0;47;652;15;106;92;438;6;0;8;4;0;0;0;19;30;9;106;4;0;0;0;1;4;3;0;15;23;55;13;22;0;0;0;2;3;10;0;0
installations of technological systems;0;12;0;0;0;2;27;9;22;0;0;0;6;1;0;2;76;0;0;0;0;0;41;88;82;0;12;34;0;0;30;1;22;1;1;2;16;6;6;121;10;0;0;47;7;3;15;15;5;13;6;1;146;1;295;51;22;37;4;3;70;6;40;0;42;35;51;32;94;40;0;1;0;4;24;18;0;69;61;1;0;21;0;0;9;1;37;31;12;0
service settlements;0;3;0;2;0;8;14;13;6;0;0;6;9;2;4;10;78;0;0;0;0;0;133;26;13;1;6;10;0;0;8;0;5;186;1;4;25;5;11;8;29;1;0;69;4;7;6;10;1;3;4;1;38;84;26;251;84;105;35;0;70;3;3;0;4;6;32;14;71;19;0;0;0;3;4;7;0;68;44;95;23;90;0;0;16;2;51;18;2;0
hospital settlements;0;0;0;1;0;0;0;0;0;0;0;0;24;0;27;0;25;0;0;0;0;0;66;63;37;2;0;29;0;0;12;0;0;0;0;1;0;0;0;11;15;0;0;5;0;3;0;25;13;14;0;0;68;51;30;227;31;207;52;0;39;0;8;0;4;25;27;1;208;42;1;0;0;1;4;10;0;86;55;143;79;171;0;0;1;0;13;6;4;0
production facilities;0;0;0;17;0;2;0;1;5;0;0;0;0;0;13;1;47;2;0;0;0;0;30;18;3;2;16;15;10;1;3;0;1;2;0;0;0;1;6;1;37;0;0;21;1;3;23;6;8;0;109;4;79;248;35;87;24;810;9;0;7;2;0;0;3;25;23;0;76;3;0;0;0;1;6;8;0;10;55;28;5;23;0;0;2;1;6;5;10;0
racecourses;0;0;0;3;0;35;23;3;4;0;0;1;3;0;2;2;55;0;0;0;0;0;153;19;15;8;3;15;0;0;3;0;1;1;0;0;16;1;146;17;38;0;0;41;41;24;1;10;4;62;2;8;109;2;9;51;6;13;368;0;76;1;11;0;35;5;3;3;31;13;0;0;0;14;113;53;0;100;52;4;1;10;0;0;9;32;99;10;7;0
olive groves;0;0;0;23;0;44;13;2;0;0;0;32;13;4;1;0;79;0;0;0;0;0;49;9;0;19;0;6;0;0;3;0;13;0;1;0;0;6;18;2;10;0;0;10;1;7;0;0;1;149;0;0;41;0;5;1;1;0;65;652;70;3;1;0;55;2;0;5;20;2;0;0;0;94;41;104;0;39;2;1;0;12;0;0;13;188;66;1;1;0
parks;0;0;0;3;1;5;14;11;5;0;0;3;7;1;1;2;186;0;0;0;0;0;192;34;22;2;1;1;0;0;25;0;2;11;30;0;15;6;15;12;19;0;0;31;0;7;1;9;1;18;5;0;13;21;15;110;26;20;46;2;432;15;4;0;4;4;4;1;41;22;0;1;0;2;12;27;0;34;31;81;0;154;0;0;6;8;131;25;10;0
amusement parks;0;1;0;0;0;59;0;6;5;0;0;38;11;68;29;3;62;0;0;0;0;0;229;13;0;58;0;343;3;0;9;0;12;1;4;1;1;8;150;6;17;0;0;12;1;12;0;7;5;7;0;3;13;14;21;37;0;27;101;9;70;3;1;1;98;0;1;3;93;50;0;2;0;24;7;11;0;37;6;2;0;11;0;0;100;23;28;21;2;0
cultivated poplar groves;0;0;0;2;0;0;112;90;14;0;0;0;0;0;0;0;8;0;0;0;0;0;0;4;50;0;0;2;0;0;15;0;1;48;0;0;30;0;0;26;8;0;0;1;4;12;0;2;0;33;0;0;8;1;1;0;1;3;19;0;1;0;1305;2;17;1;0;2;2;45;1;1;0;0;45;5;0;6;15;1;0;3;0;0;22;25;2;3;1;0
high altitude prairies and moors;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;39;0;0;3;2;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1812;0;0;0;0;0;0;0;63;0;0;0;0;0;0;0;0;0;0;10;0;1;0;0;0;0;0
stable meadows;0;0;0;0;0;12;15;3;1;0;0;20;157;6;13;2;15;0;0;0;0;0;17;3;8;10;1;6;1;1;5;13;44;2;3;7;2;3;4;6;4;9;1;4;3;44;0;3;1;18;1;7;22;0;0;2;0;0;14;12;6;0;5;1;694;0;6;3;19;19;0;1;0;474;64;33;0;32;1;1;1;7;0;0;88;12;6;1;1;0
