;aquacultures;aquaculture in a continental environment;aquaculture in the marine environment;commercial airports;military airports;sport flight airports and heliports;other wood crops;riverbeds and streams with abundant vegetation;riverbeds and streams with sparse vegetation;bathing areas;archaeological areas;gully areas;areas with agricultural crops and important natural spaces;areas with sparse other vegetation;active mining areas;inactive mining areas;urban waste areas;areas for telecommunications systems;areas affected by fires;commercial port areas;port areas for pleasure;port areas for fishing;sports areas;green areas associated with roads;embankments;racetracks;highways and expressways;artificial basins;natural basins;production basins;ruderal thickets;forests with a prevalence of beech trees;woods with a prevalence of oaks, hornbeams and chestnuts;woods with a prevalence of willows and poplars;coniferous forests;mixed coniferous and broad-leaved forests;lowland woods with a prevalence of oaks and ashes;campsites and tourist accommodation facilities;golf courses;canals and waterways;construction sites and excavations;fruit chestnut trees;bushes and shrubs;cemeteries;horticultural crops;temporary crops associated with permanent crops;scrap yards;municipal solid waste landfills;landfills and warehouses of quarries, mines and industries;orchards;goods sorting systems;photovoltaic systems;agro-zootechnical settlements;commercial settlements;installations of technological systems;service settlements;hospital settlements;production facilities;racecourses;olive groves;parks;amusement parks;cultivated poplar groves;high altitude prairies and moors;stable meadows;railway networks;networks for energy distribution and production;water distribution networks;road networks;recent reforestation;rice fields;bare rocks, cliffs and outcrops;salt pans;non-irrigated arable land;simple irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;isolated residential structures;reworked and artefacted soils;sparse residential fabric;compact and dense residential fabric;urban residential fabric;peat bogs;brackish valleys;shrubby and arboreal vegetation with scattered trees;vineyards;villas;nurseries;internal wetlands;brackish wetlands
archaeological areas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
gully areas;0;0;0;1;0;1;0;3;0;0;0;1561;5;63;2;3;2;0;0;0;0;0;0;1;0;0;1;4;0;0;5;0;21;3;2;2;0;0;0;0;3;0;0;0;1;0;0;3;8;1;0;0;1;0;0;2;1;0;1;2;0;0;0;0;37;1;1;1;5;9;0;6;0;30;2;5;0;1;3;0;0;1;0;0;194;1;0;0;0;0
areas with agricultural crops and important natural spaces;0;0;0;0;0;0;33;11;0;0;0;17;343;0;0;0;14;0;0;0;0;0;6;5;0;22;1;8;0;0;22;7;184;18;17;25;0;6;14;0;5;27;0;11;3;99;0;0;0;43;0;3;8;0;3;8;1;0;11;10;18;1;0;0;227;0;0;1;14;51;0;0;0;201;22;117;0;125;7;2;0;49;0;0;140;4;31;4;1;0
areas with sparse other vegetation;0;0;0;0;0;0;2;21;34;0;0;376;9;788;82;28;0;0;0;0;0;0;2;1;0;6;0;1;0;0;0;5;148;1;20;50;0;0;0;0;1;2;0;0;1;1;1;2;6;1;0;0;0;0;2;0;3;1;0;1;0;0;0;0;12;0;0;1;10;4;0;164;0;9;0;2;0;7;19;0;0;3;0;0;173;0;0;0;0;0
active mining areas;0;2;0;0;0;3;2;142;262;0;0;3;1;10;420;64;40;0;0;0;0;0;20;4;23;4;2;271;6;0;11;1;10;8;0;0;0;1;0;16;185;0;0;0;3;0;8;2;66;0;0;0;9;2;4;5;1;26;1;0;6;2;22;0;13;34;9;3;8;7;1;8;0;24;20;1;0;1;32;0;0;0;0;0;39;8;5;6;113;0
inactive mining areas;0;0;0;0;0;7;5;100;184;0;1;9;0;43;124;202;47;0;0;0;0;0;3;15;13;13;0;131;0;0;4;0;8;32;0;1;1;0;0;2;32;0;0;0;6;0;0;3;8;16;0;4;1;0;1;0;0;39;41;31;0;3;1;0;25;5;2;1;0;16;28;0;0;19;7;10;0;0;346;0;0;0;2;0;205;11;1;1;190;0
urban waste areas;0;3;0;23;0;7;11;1;1;0;0;3;11;2;14;26;626;4;0;0;0;0;46;83;17;1;5;8;1;0;11;0;4;3;2;2;15;3;3;27;43;2;0;14;7;24;4;37;10;9;6;8;21;19;13;41;5;54;29;1;166;2;7;0;34;22;16;13;32;44;0;1;0;21;50;21;0;8;131;30;0;27;0;0;10;20;15;9;11;0
areas for telecommunications systems;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;71;0;0;0;0;0;7;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;1;0;53;10;1;0;0;12;0;11;4;0;1;8;0;0;0;0;0;4;1;0;0;5;6;0;0;0;3;43;11;0;23;4;1;0;14;0;0;0;5;5;0;0;0
areas affected by fires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commercial port areas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
port areas for pleasure;0;9;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;16;0;5;0;0;150;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;13;0;1;1;0;6;1;0;27;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
port areas for fishing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sports areas;0;10;0;5;2;4;6;3;2;0;0;2;17;4;2;3;44;2;0;0;0;0;829;7;5;3;5;57;0;3;2;5;5;1;1;3;0;2;48;26;15;2;0;37;1;14;2;4;0;12;1;2;71;12;24;87;8;26;48;3;75;14;0;25;33;5;8;14;42;4;0;0;0;23;21;20;0;31;15;34;0;64;1;0;6;7;58;16;7;0
green areas associated with roads;0;0;0;3;0;13;8;6;1;0;0;1;2;0;1;0;89;0;0;0;0;0;8;902;19;0;172;1;0;0;45;0;7;5;0;0;8;0;5;33;11;0;0;20;1;1;8;6;7;1;12;0;15;9;15;12;1;16;10;1;22;0;0;0;24;65;7;10;180;7;1;0;0;11;73;15;0;16;37;6;0;10;0;0;2;6;16;17;0;0
embankments;0;0;0;3;0;1;5;42;26;0;0;0;2;0;3;19;12;0;0;0;0;0;10;1;1416;1;2;5;0;0;7;0;0;8;0;0;4;0;0;91;1;0;0;10;1;2;0;10;3;10;0;5;9;3;5;7;0;5;0;0;7;0;32;0;19;2;2;11;8;4;0;1;0;11;113;2;0;15;13;2;0;5;0;0;1;6;5;0;12;0
racetracks;0;0;0;16;0;30;38;8;5;0;6;307;3;21;34;13;61;11;0;0;0;0;65;76;3;72;11;12;0;0;3;0;32;10;0;0;3;0;26;0;109;0;0;14;5;6;1;38;87;1;2;1;8;54;8;54;1;58;64;0;39;0;1;0;49;4;10;10;70;9;0;2;0;78;87;28;0;4;40;0;0;7;0;0;142;29;9;5;0;0
highways and expressways;0;0;0;17;0;0;0;0;2;0;0;1;0;0;13;1;1;0;0;0;0;0;3;208;0;0;1445;0;0;0;0;0;0;0;0;0;0;0;2;3;2;0;0;10;0;0;7;0;1;0;44;0;2;25;13;3;10;25;0;0;2;0;0;0;0;20;2;1;117;0;0;0;0;0;5;0;0;1;6;0;0;5;0;0;0;0;1;2;0;0
artificial basins;0;95;0;0;0;0;7;38;19;0;0;6;0;1;70;7;6;0;0;0;0;0;73;5;17;1;1;967;22;6;9;0;6;27;1;0;12;0;1;91;5;1;0;0;17;1;1;2;2;20;0;6;19;1;15;2;0;3;4;2;8;4;6;0;10;3;2;14;4;1;6;0;0;10;49;11;0;13;20;0;0;1;0;0;8;8;14;6;213;0
natural basins;0;0;0;0;0;0;0;2;209;0;0;34;0;0;1;0;0;0;0;0;0;0;6;0;0;0;0;380;0;433;0;0;3;6;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;2;0;0;0;0;19;8;1;5;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;1;3;0;0
production basins;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ruderal thickets;0;0;0;0;0;1;134;70;10;0;0;18;22;2;0;0;29;0;0;0;0;0;13;85;9;1;1;18;0;0;349;0;85;169;0;5;157;7;14;30;10;1;1;10;6;12;11;0;11;41;0;1;16;2;2;19;1;6;6;15;35;1;35;0;10;10;3;3;17;45;3;0;0;19;89;73;0;57;22;14;6;31;0;0;37;4;77;7;2;0
forests with a prevalence of beech trees;0;0;0;0;0;0;0;0;0;0;0;0;27;6;0;0;0;0;0;0;0;0;7;0;0;3;0;0;0;0;0;1594;85;0;19;71;3;1;1;0;0;110;5;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;22;8;0;0;0;1;4;0;3;0;0;0;0;0;2;0;0;0;2;1;0;19;0;0;2;0;0
woods with a prevalence of oaks, hornbeams and chestnuts;0;0;0;0;0;0;14;14;1;0;0;21;51;11;0;1;0;1;0;0;0;0;1;0;0;6;0;1;1;0;29;62;1267;29;30;106;8;1;0;0;0;95;0;1;0;5;0;0;0;1;0;0;1;0;1;1;0;0;3;1;4;0;0;2;37;4;1;1;8;27;0;2;0;23;0;9;0;12;1;0;0;2;0;0;91;0;10;2;0;0
woods with a prevalence of willows and poplars;0;0;0;0;0;0;62;295;31;0;1;10;9;1;3;4;15;0;0;0;0;0;3;19;30;0;0;46;6;0;180;0;92;444;4;3;157;3;1;14;1;4;0;4;6;19;5;1;0;9;0;0;9;0;6;6;3;2;5;2;34;0;45;0;6;5;1;1;13;36;0;0;0;8;81;23;0;13;16;0;0;7;0;0;68;5;63;9;51;0
coniferous forests;0;0;0;0;0;0;10;1;0;0;0;12;13;27;0;4;0;0;0;0;0;0;5;0;1;2;0;1;0;0;7;12;125;27;852;736;0;0;0;0;0;4;1;2;1;0;0;1;0;0;0;0;3;0;0;4;0;0;0;0;0;0;0;9;10;0;4;0;5;14;0;4;0;3;0;2;0;7;0;11;3;33;0;0;38;0;6;0;0;0
mixed coniferous and broad-leaved forests;0;0;0;0;0;0;1;13;0;0;0;29;11;54;0;1;0;0;0;0;0;0;3;0;0;2;0;0;1;0;5;52;432;28;243;922;0;1;0;0;0;15;1;2;0;5;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;24;0;1;0;4;20;0;2;0;17;0;0;0;6;2;0;0;6;0;0;87;0;4;3;0;0
lowland woods with a prevalence of oaks and ashes;0;13;0;1;0;0;90;44;3;0;0;0;0;0;0;2;5;0;0;0;0;0;10;6;13;0;0;35;0;0;102;0;1;110;0;0;784;1;0;159;1;0;0;2;2;7;0;0;0;14;1;0;5;0;3;19;0;0;4;0;12;0;66;0;5;3;0;1;2;109;0;0;0;0;177;9;0;23;17;0;0;8;0;0;2;2;44;45;38;0
campsites and tourist accommodation facilities;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;2;0;100;6;150;275;0;34;1;0;0;12;0;4;0;0;6;0;0;1;0;0;0;0;0;8;0;0;0;0;0;0;0;0;3;0;0;0;3;11;0;0;0;2;0;0;0;95;0;14;0;102;0;0;1;0;0;0;0;0
golf courses;0;1;0;0;0;0;13;8;0;0;0;0;1;0;0;1;30;0;0;0;0;0;396;14;0;0;0;126;0;0;11;0;3;8;0;0;0;7;846;2;2;0;0;10;1;2;0;2;2;7;0;0;1;3;0;17;0;1;66;0;32;6;0;0;7;4;2;0;18;11;0;0;0;0;2;12;0;34;0;2;0;19;0;0;14;2;246;8;0;0
canals and waterways;0;10;0;1;0;2;4;23;24;0;0;2;2;0;0;4;10;0;0;0;0;0;6;16;47;1;6;80;3;0;12;0;0;12;0;0;15;0;1;1370;8;0;0;0;9;5;0;4;0;9;0;1;18;0;3;4;0;2;5;1;3;0;14;0;6;5;1;19;24;14;0;0;0;3;118;10;0;15;6;2;0;3;0;0;0;6;5;4;22;0
construction sites and excavations;0;2;0;13;2;11;4;1;20;0;0;5;4;0;90;12;82;0;0;0;0;0;22;9;16;3;8;1;0;0;6;0;6;1;0;0;1;0;0;12;675;0;0;16;43;0;10;32;69;9;30;0;68;45;5;18;7;126;34;0;26;0;24;0;10;20;14;3;39;8;2;5;0;17;119;14;0;32;62;19;0;18;0;0;3;20;9;18;0;0
fruit chestnut trees;0;1;0;0;0;0;7;0;0;0;0;0;39;14;1;0;0;0;0;0;0;0;0;0;2;6;0;1;0;0;1;308;630;13;1;24;0;0;0;0;0;873;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;23;0;0;0;2;3;0;6;0;9;0;7;0;5;0;0;0;2;0;0;16;0;4;0;0;0
bushes and shrubs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cemeteries;0;0;0;6;5;8;16;0;0;0;0;0;3;0;0;0;12;0;0;0;0;0;28;1;1;5;1;0;0;0;8;0;8;0;1;1;2;1;1;1;27;0;0;775;1;6;4;1;3;0;3;0;113;23;9;75;8;30;34;0;17;1;2;0;9;13;13;1;108;0;0;0;0;14;34;12;0;223;9;136;8;139;0;0;0;5;18;17;0;0
horticultural crops;0;5;0;2;0;8;1;0;1;0;0;0;1;1;2;0;1;0;0;0;0;0;4;9;14;0;0;6;0;0;2;0;2;0;0;0;1;1;1;21;31;0;0;7;1274;6;7;2;4;40;3;10;30;6;5;3;2;2;21;1;6;0;25;3;6;1;2;2;11;1;2;0;0;12;224;37;0;17;4;3;0;4;0;0;6;22;6;66;3;0
temporary crops associated with permanent crops;0;0;0;4;0;15;76;1;3;0;0;0;42;0;10;14;52;0;0;0;0;0;65;16;13;10;2;4;1;0;35;0;11;10;0;0;9;2;13;12;8;2;0;1;3;233;4;6;1;36;0;3;10;0;7;25;1;5;51;2;122;0;10;0;133;0;3;1;15;74;0;0;0;98;317;146;0;53;72;10;0;22;0;0;19;31;24;2;30;0
scrap yards;0;0;0;0;0;0;0;0;0;0;0;0;2;0;20;1;13;0;0;0;0;0;4;0;0;0;5;0;0;0;0;0;4;0;0;0;0;5;0;1;153;0;0;2;0;0;38;7;4;0;60;0;0;84;7;12;0;334;16;0;0;0;0;0;0;137;0;0;38;0;0;0;0;0;8;2;0;8;20;2;0;2;0;0;0;0;0;0;0;0
municipal solid waste landfills;0;0;0;5;0;3;4;0;8;0;0;2;0;2;7;1;146;0;0;0;0;0;6;10;16;0;8;2;0;0;3;0;6;1;0;0;28;14;3;17;33;0;0;9;56;35;6;209;40;1;4;198;96;51;21;24;1;238;32;0;12;8;3;0;46;1;11;2;25;164;0;4;0;1;45;127;0;13;87;0;0;9;0;0;10;4;46;25;11;0
landfills and warehouses of quarries, mines and industries;0;0;0;0;0;0;0;0;1;0;0;1;6;74;37;230;100;1;0;0;0;0;6;4;0;36;5;8;0;3;0;0;46;3;0;0;0;0;70;0;14;4;0;0;1;7;2;11;30;8;0;0;22;0;3;0;0;48;1;0;0;0;0;0;413;34;1;0;23;2;0;1;0;472;1;1;0;8;13;0;0;2;0;0;242;0;5;0;0;0
orchards;0;1;0;8;0;1;48;0;1;0;0;0;8;0;2;0;9;0;0;0;0;0;8;3;4;5;0;3;1;0;4;1;4;3;0;0;3;0;1;8;12;0;0;3;12;9;2;2;3;1219;0;1;24;1;1;1;0;0;17;35;12;2;42;0;18;1;3;0;1;14;0;0;0;24;57;38;0;39;9;1;0;4;0;0;9;225;13;18;2;0
goods sorting systems;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;17;0;0;0;0;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;10;0;0;0;128;0;87;79;1;59;2;1459;0;0;0;0;0;0;0;6;12;0;5;0;0;0;0;0;5;0;0;1;27;2;0;1;0;0;0;0;0;67;8;0
photovoltaic systems;0;0;0;46;0;0;0;0;2;0;0;0;0;0;1;3;25;1;0;0;0;0;2;0;10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;6;0;0;7;2;0;0;1748;31;1;2;6;0;12;4;0;0;1;1;0;4;0;2;0;2;0;0;0;0;25;31;2;0;3;4;0;0;0;0;0;0;5;2;1;0;0
agro-zootechnical settlements;0;5;0;12;0;3;4;0;1;0;0;3;2;1;11;1;22;0;0;0;0;0;19;5;4;4;3;18;0;0;7;0;4;1;0;0;2;3;2;10;54;4;0;75;10;12;8;7;4;14;6;3;771;27;20;38;2;95;76;4;12;5;6;0;8;13;63;7;18;4;0;1;0;31;50;27;0;185;46;22;0;54;0;0;3;22;21;25;0;0
commercial settlements;0;1;0;6;0;3;0;0;0;0;0;0;0;0;7;0;16;1;0;0;0;0;14;18;0;0;40;2;0;0;1;0;0;0;0;0;1;0;2;2;33;0;0;35;0;0;16;11;11;1;31;0;58;653;35;77;21;534;21;0;6;6;0;0;0;17;24;5;148;1;0;0;0;1;5;1;0;7;35;52;6;21;0;0;3;0;4;7;0;0
installations of technological systems;0;16;0;3;0;2;13;19;17;0;0;0;27;1;0;4;38;0;0;0;0;0;16;41;96;0;4;94;0;0;21;0;31;16;4;0;50;0;2;109;19;0;0;18;7;1;16;30;7;8;1;10;202;0;279;39;8;46;25;0;41;2;19;0;52;6;18;44;95;5;0;0;0;7;72;36;0;116;92;5;0;16;0;0;6;4;7;9;8;0
service settlements;0;1;0;3;1;4;13;53;2;0;0;2;6;0;8;12;63;0;0;0;0;0;95;21;10;2;10;3;0;0;26;1;12;133;0;6;24;2;8;7;42;0;0;107;3;5;6;16;2;4;2;2;60;73;23;246;59;111;26;0;74;3;14;0;11;8;25;13;83;10;0;1;0;2;7;5;0;64;44;99;19;108;0;0;4;2;65;19;5;0
hospital settlements;0;0;0;0;10;6;1;0;0;0;0;0;1;0;0;0;32;9;0;0;0;0;65;8;10;1;2;0;0;0;2;0;0;0;0;0;0;0;0;28;61;0;0;8;0;2;0;3;23;21;2;3;108;88;9;330;6;122;68;0;50;0;0;0;11;1;5;31;209;12;0;0;0;2;20;1;0;33;0;184;20;207;0;0;0;4;147;1;0;0
production facilities;0;1;0;17;2;2;0;2;4;0;0;1;1;0;6;0;46;0;0;0;0;0;23;10;3;0;7;27;1;0;4;1;1;0;0;0;1;1;2;8;46;0;0;27;2;1;16;11;2;0;80;2;87;241;23;77;12;916;13;0;2;1;4;0;0;26;32;4;55;3;0;0;0;1;7;2;0;15;55;26;9;16;0;0;1;0;3;11;0;0
racecourses;0;0;0;1;0;14;9;7;0;0;0;0;3;0;2;10;61;1;0;0;0;0;190;6;3;6;0;24;2;0;6;0;8;6;0;0;7;5;119;29;33;0;0;39;42;25;2;4;14;63;2;0;79;3;4;37;4;7;415;6;67;6;10;0;12;1;7;14;28;9;0;0;0;22;202;44;0;82;40;11;0;35;0;0;3;11;78;12;8;0
olive groves;0;0;0;33;0;45;7;0;0;0;5;19;10;2;0;0;43;0;0;0;0;0;4;3;0;18;2;1;0;0;5;0;18;7;1;0;0;0;24;0;12;2;0;14;1;1;7;0;10;173;1;0;11;2;1;1;2;1;77;592;6;14;0;0;16;0;3;0;13;2;0;0;0;137;94;182;0;63;3;0;0;34;0;0;20;235;21;2;0;0
parks;0;2;0;2;3;0;10;8;6;0;0;0;5;0;0;0;165;0;0;0;0;0;171;50;15;6;4;7;0;0;11;0;3;5;14;1;17;16;2;10;21;0;0;55;5;7;2;2;3;1;4;0;20;11;8;121;18;23;37;1;483;15;6;0;6;5;9;1;47;29;0;0;0;2;29;27;0;55;18;81;3;127;0;0;2;11;150;16;6;0
amusement parks;0;9;0;0;0;41;0;23;23;0;0;1;17;8;54;9;74;5;0;0;0;0;80;17;6;80;0;307;0;33;19;0;8;5;5;0;0;134;66;17;13;2;0;38;8;5;1;7;0;2;2;48;40;4;8;16;17;41;66;13;60;7;0;0;20;6;5;2;25;6;0;0;0;59;33;72;0;35;8;3;0;68;0;0;75;7;57;79;1;0
cultivated poplar groves;0;0;0;0;0;1;96;38;25;0;0;0;2;0;1;0;4;0;0;0;0;0;2;1;43;2;0;7;0;0;13;1;0;65;0;0;33;0;0;18;33;0;0;0;14;2;1;0;3;62;0;2;4;0;0;2;0;0;1;0;7;0;1218;2;11;0;0;0;2;37;0;0;0;10;114;5;0;6;15;0;0;2;0;0;19;53;10;3;10;0
high altitude prairies and moors;0;0;0;0;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;35;0;0;0;3;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1857;2;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
stable meadows;0;0;0;2;1;12;7;4;1;0;0;38;129;2;2;4;36;0;0;0;0;0;13;4;0;6;1;4;0;0;3;7;42;2;2;6;0;0;4;1;4;9;0;4;4;57;1;5;1;7;0;2;15;0;1;2;1;0;9;15;2;0;4;2;684;0;1;3;5;20;0;1;0;537;90;32;0;23;6;2;0;7;0;0;92;10;8;1;0;0
