;aquacultures;aquaculture in a continental environment;aquaculture in the marine environment;commercial airports;military airports;sport flight airports and heliports;other wood crops;riverbeds and streams with abundant vegetation;riverbeds and streams with sparse vegetation;bathing areas;archaeological areas;gully areas;areas with agricultural crops and important natural spaces;areas with sparse other vegetation;active mining areas;inactive mining areas;urban waste areas;areas for telecommunications systems;areas affected by fires;commercial port areas;port areas for pleasure;port areas for fishing;sports areas;green areas associated with roads;embankments;racetracks;highways and expressways;artificial basins;natural basins;production basins;ruderal thickets;forests with a prevalence of beech trees;woods with a prevalence of oaks, hornbeams and chestnuts;woods with a prevalence of willows and poplars;coniferous forests;mixed coniferous and broad-leaved forests;lowland woods with a prevalence of oaks and ashes;campsites and tourist accommodation facilities;golf courses;canals and waterways;construction sites and excavations;fruit chestnut trees;bushes and shrubs;cemeteries;horticultural crops;temporary crops associated with permanent crops;scrap yards;municipal solid waste landfills;landfills and warehouses of quarries, mines and industries;orchards;goods sorting systems;photovoltaic systems;agro-zootechnical settlements;commercial settlements;installations of technological systems;service settlements;hospital settlements;production facilities;racecourses;olive groves;parks;amusement parks;cultivated poplar groves;high altitude prairies and moors;stable meadows;railway networks;networks for energy distribution and production;water distribution networks;road networks;recent reforestation;rice fields;bare rocks, cliffs and outcrops;salt pans;non-irrigated arable land;simple irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;isolated residential structures;reworked and artefacted soils;sparse residential fabric;compact and dense residential fabric;urban residential fabric;peat bogs;brackish valleys;shrubby and arboreal vegetation with scattered trees;vineyards;villas;nurseries;internal wetlands;brackish wetlands
sports areas;0;14;0;1;1;2;4;10;2;0;0;0;14;0;2;1;29;0;0;0;0;0;904;3;19;13;7;71;0;3;4;0;1;1;3;2;3;4;29;5;23;1;0;34;3;10;2;8;1;19;1;4;32;18;16;76;17;30;34;3;61;11;1;32;18;6;4;11;34;6;0;2;0;11;8;37;0;30;31;45;0;76;0;0;6;10;41;26;9;0
green areas associated with roads;0;1;0;1;0;0;14;1;3;0;0;0;6;0;0;0;141;0;0;0;0;0;8;840;9;0;185;8;0;0;50;0;0;1;4;0;9;0;3;16;35;0;0;21;7;9;10;7;2;4;13;24;14;13;20;11;1;31;2;0;20;0;0;0;7;94;6;3;105;15;0;0;0;4;16;31;0;30;76;6;0;21;0;0;2;3;17;16;4;0
embankments;0;0;0;1;0;6;1;25;25;0;0;0;1;0;2;8;27;1;0;0;0;0;4;7;1453;0;0;5;0;0;11;0;0;3;1;0;2;0;1;98;15;0;0;2;4;2;0;25;1;7;0;11;7;0;19;2;1;0;6;0;3;0;32;0;20;2;42;10;7;7;0;0;0;3;27;4;0;13;17;5;0;5;0;0;2;3;4;0;10;0
racetracks;0;0;0;0;0;15;35;9;9;0;0;233;2;49;86;4;84;0;0;0;0;0;78;70;7;98;7;29;0;0;26;0;12;3;0;4;0;0;6;16;94;0;0;3;22;7;2;19;0;96;3;1;15;14;12;0;1;41;25;0;16;0;8;0;46;10;7;0;94;20;0;2;0;232;50;88;0;14;66;0;0;4;0;0;82;1;1;22;0;0
highways and expressways;0;0;0;11;0;0;0;0;4;0;0;0;0;0;2;0;6;0;0;0;0;0;1;193;0;0;1421;2;0;0;10;0;0;0;0;0;0;0;0;4;8;0;0;12;0;0;10;2;2;0;50;0;0;28;3;7;7;24;0;0;3;0;0;0;0;41;3;0;112;0;0;0;0;0;3;3;0;2;17;1;0;4;0;0;0;0;4;0;0;0
artificial basins;0;103;0;0;0;0;4;40;49;0;0;7;2;0;27;6;20;0;0;0;0;0;106;3;11;0;4;933;30;5;5;0;3;21;0;2;15;0;3;119;16;5;0;1;17;1;0;1;4;17;0;4;28;4;8;2;0;2;4;1;8;2;9;0;2;3;1;4;2;6;1;0;0;11;16;5;0;12;10;0;0;0;0;0;14;11;15;1;234;0
natural basins;0;0;0;0;0;0;0;0;173;0;0;33;0;0;0;0;0;1;0;0;0;0;4;1;0;0;3;289;225;295;0;0;14;3;0;0;0;1;0;0;31;3;0;0;0;0;0;2;0;0;0;2;1;1;10;10;0;4;1;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;8;0;0;2;0;0;0;0;0;0;0;0
production basins;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ruderal thickets;0;2;0;0;0;0;59;155;4;0;0;50;58;0;6;1;25;0;0;0;0;0;3;66;19;6;4;14;0;0;365;0;73;126;3;6;127;0;9;12;6;3;0;29;11;16;14;0;13;37;0;0;10;0;7;16;0;13;8;11;28;0;58;0;6;12;3;3;16;26;0;0;0;26;21;54;0;93;41;20;2;55;0;0;32;6;88;14;9;0
forests with a prevalence of beech trees;0;0;0;0;0;0;2;0;0;0;0;0;33;4;0;0;1;0;0;0;0;0;7;0;0;1;0;0;0;0;1;1570;78;2;35;45;0;4;0;0;0;97;6;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;36;10;0;0;0;2;4;0;8;0;0;0;3;0;3;0;1;0;0;4;0;39;0;1;0;1;0
woods with a prevalence of oaks, hornbeams and chestnuts;0;0;0;0;0;0;15;37;3;0;0;29;87;16;2;5;0;0;0;0;0;0;1;0;0;8;1;2;0;0;6;84;1103;18;38;139;1;1;0;0;0;136;2;2;0;3;0;0;1;6;0;0;3;0;1;1;1;0;3;0;2;1;4;0;30;0;0;0;16;20;0;3;0;17;0;6;0;25;1;0;0;6;0;0;97;0;14;1;2;0
woods with a prevalence of willows and poplars;0;0;0;0;0;0;59;245;36;0;0;16;3;5;0;2;10;0;0;0;0;0;11;12;23;0;2;14;0;0;241;0;77;494;10;33;109;0;1;48;1;0;0;7;1;3;1;3;2;16;0;2;5;1;12;15;0;5;4;5;27;1;71;0;7;7;2;4;6;69;0;0;0;10;28;12;0;15;25;1;0;9;0;0;49;1;45;16;61;0
coniferous forests;0;0;0;0;0;0;13;11;0;0;0;28;8;21;4;4;3;0;0;0;0;0;0;0;0;4;1;1;0;0;2;12;102;5;808;800;0;0;0;0;0;6;2;5;1;0;0;0;0;0;0;0;1;0;1;6;0;1;0;0;1;0;0;1;19;2;0;0;19;14;0;2;0;5;0;2;0;13;2;7;0;28;0;0;26;0;9;0;0;0
mixed coniferous and broad-leaved forests;0;0;0;0;0;0;10;21;1;0;0;59;25;35;0;1;0;0;0;0;0;0;1;0;0;1;0;2;0;0;5;59;366;4;266;945;0;1;0;0;1;26;0;0;0;4;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;23;0;0;1;7;17;0;6;0;8;0;7;0;9;2;2;0;5;0;0;72;0;2;1;0;0
lowland woods with a prevalence of oaks and ashes;0;13;0;0;0;0;107;18;1;0;0;0;1;0;0;0;1;0;0;0;0;0;2;2;5;0;2;34;0;0;68;0;0;90;0;0;933;0;0;63;0;0;0;2;0;3;0;0;0;3;0;0;8;0;3;4;0;1;4;0;8;0;113;0;4;2;2;2;0;177;0;0;0;2;62;6;0;20;38;0;0;8;0;0;10;5;75;32;66;0
campsites and tourist accommodation facilities;0;0;0;0;0;0;2;6;0;0;0;10;6;14;0;0;0;0;0;0;0;0;24;0;0;1;0;0;0;0;0;0;195;0;17;271;0;3;2;0;0;0;0;0;0;8;0;0;0;0;0;0;18;0;0;0;0;0;13;0;1;0;0;0;0;0;0;0;16;3;0;21;0;1;0;0;0;44;6;1;0;140;0;0;9;0;1;0;0;0
golf courses;0;0;0;0;0;0;1;11;1;0;0;0;1;1;0;0;29;0;0;0;0;0;139;6;0;2;1;162;0;0;6;0;1;4;3;0;0;3;950;2;1;0;0;1;0;40;0;0;12;37;0;0;0;0;0;13;1;9;27;6;13;7;1;0;1;4;0;0;25;37;0;0;0;27;28;63;0;18;2;6;0;25;0;0;2;19;246;6;0;0
canals and waterways;0;20;0;0;0;0;10;16;8;0;0;0;2;0;0;1;26;0;0;0;0;0;8;32;65;0;4;87;1;0;24;0;0;10;0;0;10;1;2;1318;9;0;0;2;7;9;0;2;0;2;0;3;12;0;8;4;0;5;4;2;7;2;18;0;4;4;5;22;16;9;0;0;0;1;35;19;0;31;17;4;0;3;0;0;4;3;10;10;62;0
construction sites and excavations;0;2;0;10;0;11;3;0;23;0;0;2;0;2;90;8;90;0;0;0;0;0;24;9;3;2;4;2;0;0;8;0;2;0;2;0;1;0;0;12;735;0;0;18;73;2;6;40;71;1;48;0;76;21;12;31;4;91;42;0;12;1;57;0;12;9;6;2;22;5;0;1;0;16;31;13;0;40;115;22;1;12;0;0;6;11;4;18;3;0
fruit chestnut trees;0;0;0;0;0;0;8;2;0;0;0;0;83;3;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;4;171;657;1;0;58;0;0;2;0;0;941;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;4;4;0;0;0;9;0;1;0;6;0;0;0;4;0;0;14;0;0;0;0;0
bushes and shrubs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cemeteries;0;0;0;1;2;3;16;0;0;0;0;0;2;0;0;0;19;0;0;0;0;0;28;7;5;1;3;0;0;0;7;0;12;0;0;2;3;1;4;6;33;0;0;661;2;12;0;14;1;0;1;1;150;12;16;118;17;72;38;0;30;0;1;0;5;8;5;4;109;1;0;0;0;11;8;11;0;153;27;112;9;179;0;0;3;8;27;19;0;0
horticultural crops;0;2;0;1;0;0;6;2;1;0;0;1;2;1;0;4;19;0;0;0;0;0;7;3;9;0;1;4;0;0;1;0;1;0;0;0;5;0;2;19;35;0;0;7;1464;2;0;1;0;37;0;8;29;2;3;3;0;7;16;1;3;0;37;0;2;3;2;2;10;3;0;0;0;9;72;31;0;19;12;4;0;5;0;0;1;13;6;55;5;0
temporary crops associated with permanent crops;0;0;0;26;0;21;77;8;6;0;0;0;42;0;15;45;67;0;0;0;0;0;43;9;59;8;0;8;0;0;26;0;10;2;0;0;6;1;4;33;26;11;0;5;10;162;2;0;1;52;0;8;37;0;11;37;1;1;32;3;69;3;23;0;114;13;2;11;7;92;0;0;0;81;183;162;0;79;45;4;0;24;0;0;24;71;64;13;1;0
scrap yards;0;0;0;0;0;0;0;0;0;0;0;0;3;2;7;0;10;0;0;0;0;0;0;7;0;0;18;0;0;0;0;0;2;0;0;0;0;0;0;0;14;0;0;15;0;0;45;0;2;0;110;1;21;110;3;5;3;422;29;0;0;0;0;0;0;60;20;4;42;0;0;0;0;0;0;5;0;13;6;2;0;5;0;0;0;0;0;3;0;0
municipal solid waste landfills;0;0;0;2;0;6;44;0;10;0;0;1;8;1;2;8;143;0;0;0;0;0;23;6;40;0;11;13;0;0;9;0;7;2;0;0;37;0;0;15;40;0;0;20;16;0;20;178;58;16;0;180;119;59;13;18;4;150;15;0;6;33;15;0;8;7;3;8;7;140;0;0;0;0;5;15;0;9;247;3;1;32;0;0;0;12;101;38;16;0
landfills and warehouses of quarries, mines and industries;0;0;0;0;0;0;0;21;3;0;0;5;4;134;38;73;16;1;0;0;0;0;13;5;0;142;7;9;0;6;0;0;4;0;1;4;0;0;21;0;4;0;0;11;0;27;5;8;38;0;3;0;0;0;7;0;0;63;30;0;4;0;0;1;477;6;0;3;14;0;0;8;0;397;0;0;0;13;49;1;0;1;0;0;321;0;0;2;0;0
orchards;0;0;0;2;0;1;58;0;0;0;0;0;10;0;2;0;12;0;0;0;0;0;5;3;9;0;0;6;1;0;9;0;6;1;0;0;2;0;2;15;7;1;0;1;22;10;0;2;2;1231;0;3;20;1;3;2;0;1;24;39;12;0;52;0;9;0;2;2;5;31;0;0;0;25;29;29;0;22;15;1;0;10;0;0;11;195;23;13;1;0
goods sorting systems;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;16;0;0;0;0;0;27;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;9;0;11;0;0;0;135;0;35;141;2;80;5;1295;0;0;0;0;0;0;0;4;74;0;3;0;0;0;0;0;0;0;0;1;0;2;0;2;0;0;0;0;0;108;0;0
photovoltaic systems;0;0;0;28;0;1;0;0;2;0;0;1;1;0;0;3;18;0;0;0;0;0;0;1;9;0;0;3;0;0;0;0;0;0;0;0;0;0;0;10;4;0;0;3;3;0;10;3;0;0;4;1819;4;0;1;14;0;10;6;0;0;2;0;0;6;1;4;2;6;1;0;1;0;3;2;0;0;3;8;0;0;1;0;0;0;0;0;2;0;0
agro-zootechnical settlements;0;1;0;5;0;13;5;1;3;0;0;6;12;1;7;4;25;1;0;0;0;0;35;10;22;7;3;17;2;0;12;0;6;1;0;0;1;1;2;23;57;0;0;79;14;6;8;9;5;11;5;2;750;24;20;24;1;103;78;1;14;1;4;0;8;5;41;3;11;12;0;1;0;16;19;25;0;176;54;33;0;75;0;0;6;26;25;20;2;0
commercial settlements;0;14;0;12;0;10;1;1;0;0;0;0;0;0;6;0;16;0;0;0;0;0;19;22;0;0;83;5;0;0;3;0;0;1;0;0;0;0;2;7;47;0;0;27;5;0;18;17;16;1;30;1;42;647;34;112;16;405;6;0;10;1;0;0;1;27;18;0;119;0;0;0;0;0;4;1;0;5;43;61;5;33;0;0;1;1;7;37;0;0
installations of technological systems;0;2;0;0;0;4;21;12;24;0;0;0;28;0;0;0;24;0;0;0;0;0;8;25;108;0;6;137;0;0;47;0;0;7;1;2;29;0;0;159;31;0;0;43;11;8;14;37;0;1;0;1;121;3;226;55;13;48;20;0;14;0;20;0;3;30;18;56;43;70;1;0;0;6;25;27;0;157;117;11;0;32;0;0;19;0;13;56;6;0
service settlements;0;1;0;1;0;1;61;33;4;0;0;2;12;3;7;8;76;0;0;0;0;0;124;11;11;0;6;19;0;0;40;0;25;75;4;2;45;2;6;11;42;0;0;88;1;3;2;15;2;3;7;2;52;90;16;233;68;97;23;2;92;4;18;0;5;17;25;4;58;8;0;3;0;5;7;6;0;59;70;105;18;75;0;0;6;0;61;17;1;0
hospital settlements;0;8;0;0;0;0;1;0;1;0;0;0;0;0;3;0;62;0;0;0;0;0;85;40;9;0;6;3;0;0;21;0;0;0;0;0;3;0;0;32;33;0;0;20;0;42;0;17;0;4;18;4;28;115;28;99;19;177;27;0;179;0;1;0;1;40;4;7;189;57;0;0;0;1;15;0;0;58;12;289;29;103;0;0;0;22;50;3;2;0
production facilities;0;1;0;12;2;3;0;1;6;0;0;0;1;0;14;2;55;1;0;0;0;0;38;18;0;0;14;9;1;0;9;0;1;2;0;0;1;0;0;22;43;0;0;27;1;1;14;13;11;3;109;6;66;225;25;64;6;885;14;0;12;1;2;0;1;27;23;6;52;4;0;0;0;0;7;3;0;12;46;31;3;20;0;0;0;0;3;15;6;0
racecourses;0;0;0;0;0;20;26;3;2;0;0;0;7;0;13;2;43;0;0;0;0;0;191;5;16;2;0;15;0;0;8;0;7;7;0;0;8;0;104;27;32;0;0;50;12;23;3;15;7;59;0;0;119;5;13;42;6;18;369;9;62;0;16;0;8;2;8;7;2;20;0;0;0;41;123;66;0;89;69;9;0;36;0;0;5;22;108;13;6;0
olive groves;0;0;0;0;5;18;49;0;2;0;0;23;21;0;1;0;174;0;0;0;0;0;54;3;0;9;0;5;1;0;6;0;14;0;2;0;0;6;3;1;22;0;0;4;3;34;0;0;15;172;0;0;4;0;0;23;3;3;16;739;12;0;0;0;19;0;0;0;2;13;0;0;0;83;16;175;0;87;1;2;0;19;0;0;7;96;33;0;0;0
parks;0;0;0;0;2;2;19;15;7;0;0;0;2;0;1;0;194;0;0;0;0;0;128;52;24;0;2;6;0;0;22;0;0;7;8;12;24;7;6;10;22;0;0;29;3;11;2;6;2;16;22;2;14;14;16;83;11;24;24;3;530;5;18;0;11;6;8;1;45;30;0;0;0;2;12;43;0;34;35;96;0;114;0;0;13;6;110;24;3;0
amusement parks;0;0;0;0;0;33;1;5;2;0;0;54;11;13;17;7;127;0;0;0;0;0;191;18;0;33;0;439;0;0;14;0;17;8;6;5;0;4;160;1;12;6;0;1;1;2;0;0;5;32;0;13;9;8;5;15;0;29;0;41;63;5;0;0;30;2;2;0;16;14;0;9;0;23;2;146;0;11;12;2;0;76;0;0;79;10;91;62;0;0
cultivated poplar groves;0;0;0;4;0;0;104;81;15;0;0;0;0;0;0;17;12;0;0;0;0;0;0;1;53;0;2;4;0;0;15;0;0;32;0;0;28;0;1;28;1;0;0;0;14;0;0;2;0;26;0;1;8;0;2;1;0;0;0;1;1;0;1373;0;8;4;0;0;0;22;1;0;0;3;39;3;0;2;3;0;0;1;0;0;28;36;11;5;7;0
high altitude prairies and moors;0;0;0;0;0;0;0;0;0;0;0;0;3;53;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;20;0;0;0;4;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1886;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
stable meadows;0;0;0;0;0;11;17;4;4;0;1;27;167;3;3;3;26;0;0;0;0;0;17;5;7;10;0;3;0;0;0;8;27;3;8;6;0;0;3;2;9;7;0;5;5;46;1;5;2;9;0;3;16;0;2;1;0;1;9;27;3;0;4;1;698;0;1;1;11;35;0;0;0;469;64;39;0;31;4;3;0;10;0;0;86;16;7;1;3;0
