;aquacultures;aquaculture in a continental environment;aquaculture in the marine environment;commercial airports;military airports;sport flight airports and heliports;other wood crops;riverbeds and streams with abundant vegetation;riverbeds and streams with sparse vegetation;bathing areas;archaeological areas;gully areas;areas with agricultural crops and important natural spaces;areas with sparse other vegetation;active mining areas;inactive mining areas;urban waste areas;areas for telecommunications systems;areas affected by fires;commercial port areas;port areas for pleasure;port areas for fishing;sports areas;green areas associated with roads;embankments;racetracks;highways and expressways;artificial basins;natural basins;production basins;ruderal thickets;forests with a prevalence of beech trees;woods with a prevalence of oaks, hornbeams and chestnuts;woods with a prevalence of willows and poplars;coniferous forests;mixed coniferous and broad-leaved forests;lowland woods with a prevalence of oaks and ashes;campsites and tourist accommodation facilities;golf courses;canals and waterways;construction sites and excavations;fruit chestnut trees;bushes and shrubs;cemeteries;horticultural crops;temporary crops associated with permanent crops;scrap yards;municipal solid waste landfills;landfills and warehouses of quarries, mines and industries;orchards;goods sorting systems;photovoltaic systems;agro-zootechnical settlements;commercial settlements;installations of technological systems;service settlements;hospital settlements;production facilities;racecourses;olive groves;parks;amusement parks;cultivated poplar groves;high altitude prairies and moors;stable meadows;railway networks;networks for energy distribution and production;water distribution networks;road networks;recent reforestation;rice fields;bare rocks, cliffs and outcrops;salt pans;non-irrigated arable land;simple irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;isolated residential structures;reworked and artefacted soils;sparse residential fabric;compact and dense residential fabric;urban residential fabric;peat bogs;brackish valleys;shrubby and arboreal vegetation with scattered trees;vineyards;villas;nurseries;internal wetlands;brackish wetlands
archaeological areas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
gully areas;0;0;0;0;0;0;0;2;1;0;0;1536;3;76;25;4;1;0;0;0;0;0;1;1;0;1;0;6;0;0;1;0;23;2;3;3;0;0;0;0;1;0;0;0;0;0;0;9;7;3;0;0;2;0;0;0;0;1;1;5;1;0;0;0;30;0;0;2;1;2;0;5;0;40;1;2;0;2;1;0;0;0;0;0;194;1;0;0;0;0
areas with agricultural crops and important natural spaces;0;0;0;0;1;0;34;9;6;0;0;7;383;0;2;3;6;0;0;0;0;0;13;2;1;12;0;9;0;0;14;4;176;19;11;15;5;4;4;1;4;16;0;2;1;71;0;0;2;44;0;1;15;0;1;13;1;1;17;21;19;3;1;0;216;0;2;0;21;22;0;0;0;179;13;150;0;123;13;5;0;46;1;0;180;9;40;6;0;0
areas with sparse other vegetation;0;0;0;0;0;0;0;11;28;0;0;404;4;860;82;39;0;0;0;0;0;0;2;2;0;1;2;2;0;0;0;6;131;2;4;32;0;0;0;0;1;0;0;0;0;1;0;3;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;25;0;0;2;21;1;0;98;0;18;0;0;0;6;14;0;0;0;0;0;193;0;0;0;0;0
active mining areas;0;0;0;2;0;0;1;117;318;0;0;17;1;0;431;66;34;0;0;0;0;0;10;9;8;7;1;180;5;0;1;2;10;11;0;0;1;0;0;11;254;0;0;0;2;0;8;17;29;3;0;0;11;4;5;1;0;15;10;0;3;2;14;0;8;25;0;1;16;0;0;2;0;20;13;1;0;1;68;1;0;0;0;0;60;0;1;1;161;0
inactive mining areas;0;0;0;0;0;1;0;197;87;0;0;9;0;20;150;312;12;0;0;0;0;0;2;11;1;2;0;35;0;0;17;0;36;3;0;0;12;0;0;25;153;0;0;0;11;0;0;11;8;33;0;0;6;2;0;1;0;6;12;9;4;3;0;0;33;7;1;0;3;2;1;0;0;13;20;9;0;0;363;0;0;0;0;0;101;26;1;1;228;0
urban waste areas;0;0;0;7;0;6;17;2;3;0;1;0;3;4;13;20;701;0;0;0;0;0;51;89;11;3;3;8;0;0;22;1;2;1;0;0;11;2;2;14;57;0;0;17;3;5;2;30;8;16;10;3;30;13;19;40;4;69;24;1;100;2;4;0;40;19;28;13;30;51;0;4;0;35;50;11;0;8;125;35;0;31;0;0;17;12;22;5;10;0
areas for telecommunications systems;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;9;2;0;0;0;0;0;7;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;3;0;0;0;105;15;19;1;0;32;0;0;0;0;20;2;0;1;0;0;0;2;0;4;0;5;0;0;0;0;0;38;8;0;12;14;1;0;9;0;0;0;0;0;2;0;0
areas affected by fires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commercial port areas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
port areas for pleasure;0;26;0;0;0;0;0;1;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;73;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;18;0;2;0;0;0;0;0;5;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;22;0
port areas for fishing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sports areas;0;30;0;1;0;6;2;1;1;0;0;2;11;0;0;0;45;1;0;0;0;0;905;2;7;4;2;43;0;0;0;4;6;1;1;1;3;4;49;3;21;0;0;41;3;6;3;5;0;21;2;2;53;15;22;104;11;36;36;5;70;11;0;18;27;2;7;6;35;2;0;12;0;14;13;14;0;34;10;41;1;59;0;0;9;9;55;17;13;0
green areas associated with roads;0;0;0;2;0;0;2;1;2;0;0;0;1;3;2;2;153;0;0;0;0;0;10;872;15;2;196;0;0;0;43;0;5;4;0;0;3;0;0;21;8;0;0;8;3;13;4;11;10;1;10;1;10;12;28;5;2;25;3;0;16;1;1;0;6;78;6;9;175;2;1;0;0;12;77;8;0;14;37;5;0;15;0;0;13;7;8;11;5;0
embankments;0;0;0;0;0;0;2;52;23;0;0;0;2;0;2;10;57;2;0;0;0;0;9;9;1315;0;0;13;0;0;10;0;0;4;0;0;6;0;5;114;14;0;0;2;3;7;2;20;0;6;0;0;22;0;15;4;0;5;1;0;5;0;40;0;15;2;4;4;12;9;0;0;0;3;104;5;0;13;8;1;0;3;0;0;14;2;1;0;19;0
racetracks;0;0;0;23;0;21;0;17;2;0;0;359;0;20;110;0;139;0;0;0;0;0;24;51;2;13;1;71;13;0;1;0;10;1;0;3;7;8;6;4;128;0;0;1;8;2;4;11;23;30;3;2;65;15;24;3;0;41;43;0;5;7;4;0;81;1;17;2;105;4;0;0;0;132;39;34;0;15;83;0;0;4;0;0;141;16;0;1;0;0
highways and expressways;0;0;0;3;0;1;0;0;2;0;0;0;0;0;10;0;5;0;0;0;0;0;3;209;0;0;1392;0;0;0;1;0;0;0;0;0;0;0;0;6;5;0;0;5;1;0;4;0;2;0;36;0;0;16;9;3;8;27;1;0;1;0;0;0;0;70;2;2;154;0;1;0;0;1;5;2;0;1;7;0;0;2;0;0;0;0;1;2;0;0
artificial basins;0;100;0;0;1;1;4;48;45;0;0;7;1;0;32;7;10;0;0;0;0;0;86;3;12;0;1;922;24;4;13;0;7;17;0;1;6;0;5;85;17;0;0;1;29;1;0;5;2;28;0;3;33;0;3;4;0;11;2;0;11;2;4;0;3;3;9;5;5;4;0;1;0;16;36;4;0;19;12;0;0;1;0;0;7;7;14;3;253;0
natural basins;0;3;0;0;0;0;0;0;161;0;0;33;0;0;1;0;2;0;0;0;0;0;0;0;1;0;3;121;143;545;0;0;42;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;3;0;0;0;0;0;0;2;1;2;1;4;0;0;1;0;0;0;0;0;1;2;1;0;3;0;0;0;0;0;2;0;0
production basins;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ruderal thickets;0;0;0;0;0;1;126;108;5;0;0;5;23;0;3;0;28;1;0;0;0;0;4;71;20;4;3;22;0;0;296;0;142;139;0;5;116;0;18;35;12;1;0;4;2;4;12;0;4;54;0;0;16;0;3;19;3;6;7;9;55;5;26;0;11;10;1;6;10;55;0;0;0;30;91;61;0;68;43;10;2;29;0;0;41;2;94;10;9;0
forests with a prevalence of beech trees;0;0;0;0;0;0;8;0;0;0;0;0;18;4;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;1602;89;0;20;69;0;2;0;0;0;90;6;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;22;10;0;0;0;0;1;0;4;0;0;0;1;0;3;0;1;0;2;1;0;38;0;0;1;1;0
woods with a prevalence of oaks, hornbeams and chestnuts;0;0;0;0;0;0;13;26;0;0;0;17;54;13;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;17;60;1323;15;21;96;4;0;1;0;0;79;0;0;0;7;0;0;0;1;0;0;4;0;0;0;0;0;0;1;3;0;0;0;34;1;0;1;4;12;0;1;0;33;2;7;0;18;4;2;0;4;0;0;104;1;11;1;1;0
woods with a prevalence of willows and poplars;0;1;0;0;0;0;37;338;31;0;0;2;9;0;2;1;9;0;0;0;0;0;7;27;25;0;0;27;2;0;186;0;164;343;2;20;100;2;4;43;0;0;0;0;3;6;2;1;0;12;0;2;10;0;1;8;0;2;1;0;47;0;85;0;4;9;3;4;17;105;0;0;0;7;57;10;0;17;42;0;0;7;0;0;65;3;47;16;25;0
coniferous forests;0;0;0;0;0;0;4;5;1;0;0;20;7;10;0;6;0;0;0;0;0;0;3;1;0;0;0;0;0;0;4;24;152;30;914;657;0;2;0;0;0;2;1;2;2;0;0;1;0;1;0;0;2;0;0;11;2;0;1;2;0;0;0;2;11;0;0;0;6;6;0;3;0;10;1;0;0;12;0;4;0;26;0;0;47;0;3;2;0;0
mixed coniferous and broad-leaved forests;0;0;0;0;0;0;6;18;0;0;0;69;12;30;0;5;0;0;0;0;0;0;3;0;0;1;0;1;0;0;2;68;531;11;238;788;0;1;1;0;0;10;0;0;0;7;0;1;2;3;0;0;1;0;0;2;0;0;0;0;0;0;0;0;20;0;1;2;3;11;0;1;0;15;0;5;0;11;0;0;0;4;0;0;110;1;5;0;0;0
lowland woods with a prevalence of oaks and ashes;0;1;0;0;0;0;137;36;3;0;0;0;1;0;0;0;2;0;0;0;0;0;1;10;9;1;0;36;2;0;80;0;1;69;0;0;703;1;0;127;1;0;0;5;87;5;0;0;0;14;1;1;12;0;1;1;3;4;1;0;47;0;53;0;2;1;0;3;8;149;0;0;0;0;100;8;0;18;9;0;0;4;0;0;34;3;64;63;78;0
campsites and tourist accommodation facilities;0;0;0;0;0;0;0;7;0;0;0;0;3;0;0;0;0;3;0;0;0;0;4;0;0;2;0;0;0;0;0;0;118;2;161;138;0;66;10;0;1;0;0;0;0;4;0;0;0;11;0;0;4;0;0;9;0;0;51;0;0;0;0;0;3;10;0;0;35;0;0;0;0;9;0;0;0;53;2;1;3;116;0;0;1;0;5;1;0;0
golf courses;0;0;0;0;0;0;2;22;1;0;0;0;0;0;0;0;66;0;0;0;0;0;358;6;0;0;1;103;1;0;6;0;0;7;0;0;1;4;941;2;0;0;0;4;0;0;0;0;6;2;0;1;2;2;1;10;0;6;48;1;46;8;1;0;5;13;2;0;15;7;0;0;0;1;3;15;0;10;0;4;0;18;0;0;7;1;240;0;0;0
canals and waterways;0;12;0;2;0;0;4;27;13;0;0;0;2;0;5;1;10;0;0;0;0;0;7;21;66;0;2;56;3;0;21;0;2;7;0;0;16;0;1;1384;7;0;0;1;5;3;1;2;0;5;1;3;13;0;4;6;0;4;5;0;4;1;5;0;5;9;0;19;13;9;0;0;0;1;127;8;0;17;10;1;0;5;0;0;5;5;5;3;26;0
construction sites and excavations;0;0;0;4;0;2;1;0;14;0;1;5;3;0;84;7;97;0;0;0;0;0;14;14;17;8;3;3;0;0;4;0;1;6;0;0;2;1;0;13;749;0;0;14;30;0;25;31;41;15;25;0;63;51;8;20;14;111;40;0;4;1;12;0;6;27;7;11;37;2;0;0;0;23;117;14;0;27;88;18;2;11;0;0;2;16;11;21;2;0
fruit chestnut trees;0;0;0;0;0;0;13;0;0;0;0;0;26;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;245;805;16;0;4;0;0;2;0;0;769;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;27;0;0;0;0;15;0;0;0;12;0;7;0;11;0;0;0;3;0;0;35;0;0;0;0;0
bushes and shrubs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cemeteries;0;0;0;0;11;8;10;0;0;0;0;0;1;0;0;0;13;0;0;0;0;0;38;4;2;0;4;0;1;0;7;0;9;0;1;0;1;2;0;4;28;0;0;851;1;6;2;4;2;1;0;0;122;27;25;93;7;24;17;0;38;1;5;0;7;22;6;2;107;0;0;0;0;12;43;7;0;133;3;85;3;152;0;0;2;3;30;13;0;0
horticultural crops;0;1;0;1;0;3;2;1;0;0;0;0;1;3;2;0;6;0;0;0;0;0;5;1;7;0;0;10;4;0;3;0;1;0;0;0;0;2;0;20;25;0;0;7;1226;8;6;1;1;37;3;23;50;0;7;2;1;6;14;2;5;0;70;0;7;4;5;2;5;3;2;8;0;7;219;40;0;17;3;4;0;4;0;0;1;28;2;63;9;0
temporary crops associated with permanent crops;0;0;0;7;0;9;64;5;3;0;0;10;23;0;17;6;83;0;0;0;0;0;26;10;15;1;0;5;0;0;22;0;22;11;0;0;10;5;0;61;13;8;0;2;6;129;0;4;4;48;0;4;31;0;0;24;11;7;74;11;133;1;3;0;138;10;5;7;7;83;1;0;0;84;329;141;0;46;61;11;0;25;0;0;16;39;56;9;4;0
scrap yards;0;0;0;0;0;0;0;0;2;0;0;0;0;2;21;0;10;0;0;0;0;0;7;2;0;0;3;0;0;0;0;0;6;3;1;0;0;5;0;1;24;0;0;0;1;0;13;8;1;0;45;0;18;129;1;11;22;518;3;0;0;0;0;0;0;47;1;0;38;0;0;0;0;0;9;8;0;8;9;4;0;7;0;0;1;0;0;0;0;0
municipal solid waste landfills;0;0;0;0;0;0;6;0;0;0;0;1;2;1;3;1;123;0;0;0;0;0;3;21;31;0;8;7;0;0;20;0;10;2;0;0;28;1;0;30;44;0;0;2;30;90;11;139;43;4;1;200;91;86;22;33;0;194;59;0;30;1;4;0;86;4;27;19;28;112;1;0;0;2;149;24;0;15;50;0;0;11;0;0;6;0;36;39;9;0
landfills and warehouses of quarries, mines and industries;0;0;0;0;0;0;0;1;7;0;0;10;45;41;64;162;18;0;0;0;0;0;18;0;0;32;2;6;0;0;0;0;23;0;1;0;0;0;1;0;6;0;0;0;0;1;9;13;40;1;0;0;6;0;2;1;0;38;47;1;0;0;0;5;185;0;5;4;37;0;0;28;0;641;5;1;0;7;38;0;0;0;0;0;447;1;0;0;0;0
orchards;0;0;0;3;0;1;45;1;0;0;0;2;9;2;3;1;12;0;0;0;0;0;5;2;11;0;0;4;1;0;7;0;8;0;1;0;6;0;1;10;8;0;0;2;16;10;0;0;0;1199;0;0;15;0;1;3;1;1;21;28;11;1;47;0;17;0;3;1;3;16;0;0;0;25;53;48;0;28;9;2;0;12;0;0;12;245;12;13;2;0
goods sorting systems;0;0;0;25;1;3;0;0;2;0;0;0;0;0;2;0;4;0;0;0;0;0;5;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;7;0;5;17;4;0;131;5;10;137;8;114;4;1294;2;0;1;0;0;0;0;13;7;2;8;0;0;0;0;0;4;0;0;1;61;4;0;7;0;0;0;0;0;49;1;0
photovoltaic systems;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;13;24;0;0;0;0;0;0;1;1;0;3;0;0;0;0;0;1;0;0;0;0;0;0;3;1;0;0;1;1;0;1;1;0;1;0;1780;21;12;3;1;0;14;1;0;1;0;0;0;8;2;19;5;2;1;0;0;0;14;27;0;0;5;1;0;0;0;0;0;2;0;0;0;0;0
agro-zootechnical settlements;0;5;0;13;0;10;3;1;1;0;0;4;7;0;11;4;23;0;0;0;0;0;29;8;9;7;4;18;0;0;5;0;7;1;0;0;1;2;2;12;40;1;0;62;12;4;15;5;7;11;2;7;769;22;28;39;5;106;90;3;10;4;2;0;18;6;61;9;19;4;0;0;0;31;63;13;0;165;45;17;1;49;0;0;5;15;24;16;8;0
commercial settlements;0;3;0;11;0;3;2;0;0;0;0;0;0;0;4;0;26;0;0;0;0;0;38;5;0;0;70;0;0;0;4;0;0;0;0;0;0;0;1;8;50;0;0;17;2;1;25;12;6;1;32;0;49;593;15;82;35;549;6;0;7;2;1;0;0;16;21;1;153;2;0;0;0;2;9;1;0;10;30;68;3;15;0;0;1;1;0;7;0;0
installations of technological systems;0;12;0;0;0;6;11;25;26;0;0;0;12;0;1;2;42;0;0;0;0;0;9;33;106;1;13;52;0;2;14;0;13;22;6;3;20;2;0;111;31;0;0;36;5;9;14;25;3;4;0;5;179;4;164;40;0;58;15;2;54;4;24;0;38;20;51;45;107;76;0;0;0;9;100;18;0;70;132;1;0;33;0;0;11;8;8;30;23;0
service settlements;0;0;0;2;1;1;23;36;2;0;0;5;7;0;20;16;73;1;0;0;0;0;133;7;10;8;1;4;0;0;18;1;68;39;0;1;74;5;6;5;29;0;0;76;3;4;3;10;0;3;2;5;66;88;19;252;74;118;26;3;72;3;11;0;6;12;23;10;68;9;0;0;0;4;17;6;0;60;37;107;14;77;0;0;15;0;82;13;6;0
hospital settlements;0;1;0;0;3;42;2;0;1;0;0;0;1;0;0;2;74;2;0;0;0;0;39;32;29;0;15;13;0;0;16;0;1;0;0;0;2;0;0;9;22;0;0;12;0;0;1;13;1;0;1;0;44;37;106;403;17;161;24;0;50;0;16;0;1;18;16;19;208;39;0;1;0;0;15;11;0;20;12;122;57;123;0;0;19;2;84;8;0;0
production facilities;0;0;0;3;2;3;1;0;8;0;0;0;1;0;17;0;45;0;0;0;0;0;33;12;4;1;10;18;2;0;6;0;1;0;0;1;2;1;0;4;49;0;0;18;1;0;23;7;5;0;93;5;79;232;27;65;14;912;14;0;8;0;0;0;0;27;14;4;69;1;0;1;0;2;12;4;0;6;59;26;5;21;0;0;2;2;4;11;3;0
racecourses;0;0;0;0;0;14;13;6;1;0;0;0;7;0;1;1;85;0;0;0;0;0;268;3;8;8;0;16;1;0;2;0;4;1;0;0;6;5;87;19;37;0;0;34;16;19;6;5;1;28;0;0;129;1;2;56;1;14;470;1;61;7;17;0;14;2;6;5;23;18;1;0;0;35;156;38;0;55;57;4;0;23;0;0;1;10;85;5;1;0
olive groves;0;0;0;57;0;39;14;6;0;0;3;20;10;0;4;0;34;0;0;0;0;0;6;1;0;8;0;4;0;0;0;0;18;2;0;0;0;1;0;0;38;0;0;7;1;0;2;4;3;279;0;0;1;0;2;1;6;24;104;620;46;7;9;0;11;0;0;0;49;2;0;0;0;89;80;146;0;42;3;0;0;25;0;0;22;73;71;5;1;0
parks;0;0;0;3;3;2;14;11;5;0;0;0;5;0;0;1;239;0;0;0;0;0;161;39;4;6;0;7;0;0;27;3;2;3;24;1;22;3;3;9;14;0;0;28;1;13;2;0;3;0;15;0;25;24;17;100;21;17;43;1;517;11;9;0;14;4;3;3;43;6;0;0;0;1;18;26;0;33;36;98;4;97;0;0;9;1;120;19;7;0
amusement parks;0;0;0;0;0;96;0;49;18;0;0;14;9;15;50;26;150;0;0;0;0;0;62;0;6;25;0;358;0;4;27;0;3;1;2;1;0;12;147;18;25;0;0;16;9;14;0;1;5;3;2;4;72;16;2;34;0;47;11;14;41;1;0;0;71;2;8;0;24;5;0;1;0;23;42;79;0;23;38;8;0;60;0;0;69;23;36;75;3;0
cultivated poplar groves;0;0;0;0;0;0;104;105;23;0;0;0;5;0;0;3;9;0;0;0;0;0;1;1;32;1;0;0;0;0;5;0;0;32;0;0;30;0;0;17;10;0;0;0;8;5;0;0;0;31;0;1;5;0;2;7;0;1;1;0;0;0;1254;2;7;1;0;0;0;46;0;5;0;3;135;7;0;8;9;0;0;1;0;0;29;9;6;9;30;0
high altitude prairies and moors;0;0;0;0;0;0;0;0;0;0;0;0;0;71;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;26;0;0;0;1;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1843;3;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
stable meadows;0;0;0;0;0;6;17;6;3;0;0;27;120;3;4;2;19;1;0;0;0;0;26;0;6;6;0;1;0;0;1;13;38;2;3;3;1;4;6;5;2;4;1;6;4;50;0;1;2;12;0;1;12;0;1;1;0;1;9;11;6;0;4;1;690;0;4;2;10;11;0;0;0;571;85;20;0;33;5;1;0;5;0;0;99;7;3;1;1;0
