;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
temporary crops associated with permanent crops;91;75;13;29;5;32;0;0;162;221;3;1;55;0;78;0;4;271;42;12;43;47;0;2;0;110;39;0;0;0;292;105;145;0;4;89;0;20;0;10
waterways, canals and waterways;105;87;8;1;85;126;0;0;77;173;306;2;469;1;236;1;4;21;5220;72;9;106;0;3;0;27;360;1;9;0;284;18;36;0;7;60;0;11;0;75
landfills and scrap yards;65;271;28;5;368;238;0;0;481;153;29;0;91;0;238;0;3;23;90;429;1;884;0;13;0;262;724;0;4;0;141;335;43;0;5;53;0;2;0;10
orchards;98;38;9;6;2;3;0;0;56;41;3;0;22;0;12;0;4;10;21;7;1213;32;0;36;0;6;13;1;1;0;91;13;30;0;3;37;0;188;0;4
industrial, commercial, large-scale plant and service settlements;79;77;72;36;8;45;0;0;405;689;120;0;401;6;402;0;175;9;395;192;14;5250;0;4;0;47;1599;0;3;0;302;43;79;0;587;888;1;16;0;23
seas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
olive groves;11;41;82;5;24;0;0;0;313;157;3;1;28;0;4;0;11;5;4;14;136;18;0;813;0;5;20;0;0;0;21;74;131;0;0;61;0;18;0;0
high altitude prairies and moors;0;0;0;2;43;0;0;0;1;0;0;2;37;1;0;24;0;0;0;0;0;0;0;0;1859;0;0;0;24;0;0;0;0;0;0;0;3;0;0;4
stable meadows;22;115;16;112;41;12;0;0;70;38;3;6;62;8;11;0;7;41;13;4;4;25;0;12;3;629;12;0;2;0;77;572;26;0;0;48;0;9;0;0
road and railway infrastructure networks and areas and ancillary spaces;47;62;87;16;40;45;0;0;183;374;88;13;216;12;624;0;102;11;385;240;15;2891;0;2;0;50;7961;2;4;0;720;51;43;0;251;351;0;29;0;6
rice fields;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bare rocks, cliffs and outcrops;0;44;0;0;336;8;0;0;4;2;0;0;69;10;3;0;34;0;4;1;0;22;0;0;0;1;19;0;116;0;1;1;0;0;1;21;0;0;0;0
salt pans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arable land in irrigated areas;232;90;25;2;1;9;0;0;166;195;24;0;77;0;169;0;30;39;68;49;136;175;0;7;0;37;172;2;0;0;3879;34;140;0;12;168;0;33;0;29
non-irrigated arable land;15;21;19;35;14;12;0;0;33;15;7;2;40;3;12;0;2;55;4;8;9;18;0;17;0;315;21;0;0;0;133;1112;33;0;1;38;0;4;0;2
complex cultivation and parcel systems;53;66;14;29;2;2;0;0;146;229;12;2;84;0;54;0;20;64;41;5;94;114;0;32;0;48;74;0;0;0;171;58;297;0;11;243;1;32;0;2
dunes and sand beaches;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
continuous fabric;3;0;2;1;0;0;0;0;36;63;0;0;8;0;7;0;65;0;17;7;4;585;0;0;0;1;245;0;0;0;3;3;1;0;2580;367;0;2;0;0
discontinuous fabric;18;27;9;28;8;2;0;0;190;275;5;9;90;15;105;1;105;23;51;27;26;439;0;17;0;22;206;0;1;0;143;31;71;0;244;1786;0;25;0;1
peat bogs;0;0;0;0;0;0;0;0;0;0;0;0;69;0;0;0;0;0;0;0;0;0;0;0;185;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
vineyards;19;6;8;0;0;3;0;0;20;20;1;0;10;0;13;0;4;5;12;2;120;9;0;19;0;6;5;0;0;0;49;5;34;0;0;25;0;1602;0;3
wetlands and brackish valleys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
internal wetlands;23;39;0;1;8;44;0;0;11;40;229;0;172;0;42;0;1;12;158;19;4;18;0;0;0;3;64;0;0;0;61;0;3;0;0;4;4;2;0;1038
