;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
water basins;23;25;0;2;42;63;0;0;124;37;2993;3;63;1;58;0;1;6;369;21;23;89;0;0;1;5;79;0;5;0;57;12;10;0;4;15;0;13;0;979
coniferous forests;0;43;0;13;58;7;0;0;32;2;1;809;158;768;1;2;3;0;5;1;0;13;0;1;0;9;18;0;7;0;0;10;5;0;4;30;0;0;0;0
deciduous forests;417;624;12;174;122;19;0;0;115;370;114;67;7602;228;70;2;13;49;676;28;74;109;0;16;26;124;165;0;7;0;276;52;124;0;16;169;2;23;0;115
mixed coniferous and broad-leaved forests;5;95;0;22;103;6;0;0;8;4;4;262;486;889;0;0;2;0;26;0;1;1;0;0;0;32;9;0;3;0;3;17;4;0;1;16;0;1;0;0
construction sites;32;48;33;7;16;187;0;0;113;263;22;0;56;1;1278;0;38;8;149;176;30;533;0;1;0;35;408;6;5;0;205;35;36;0;45;173;0;23;0;38
bushes and shrubs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cemeteries;10;2;13;11;0;5;0;0;86;100;0;2;7;4;62;0;576;5;9;20;1;435;0;0;0;7;170;0;0;0;39;17;10;0;130;272;0;7;0;0
temporary crops associated with permanent crops;78;65;27;35;3;37;0;0;208;186;3;1;59;0;114;0;4;231;84;19;48;69;0;16;0;107;58;0;1;0;159;86;134;0;9;119;0;36;0;4
waterways, canals and waterways;133;132;20;10;100;83;0;0;63;113;307;2;421;15;179;0;11;15;5460;47;35;116;0;1;1;68;245;0;25;0;164;15;32;0;11;64;0;12;0;100
landfills and scrap yards;43;225;10;51;72;324;0;0;329;156;14;1;95;3;155;0;3;35;123;489;15;934;0;6;0;300;816;0;19;0;129;413;87;0;8;75;0;3;0;56
orchards;119;37;9;12;1;2;0;0;47;44;12;0;19;0;20;0;5;15;26;5;1158;23;0;24;0;17;12;0;0;0;67;20;52;0;1;47;0;205;0;1
industrial, commercial, large-scale plant and service settlements;99;144;84;51;13;72;0;0;596;618;145;2;336;8;443;0;205;21;370;219;49;5362;0;11;0;68;1444;1;2;0;193;27;62;0;455;813;0;27;0;27
seas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
olive groves;14;16;68;13;35;1;0;0;159;221;6;1;15;0;12;0;10;7;4;2;148;48;0;651;0;54;35;0;0;0;43;93;104;0;1;51;0;187;0;1
high altitude prairies and moors;0;1;0;0;45;0;0;0;9;0;0;3;39;2;0;16;0;0;0;0;0;0;0;0;1812;0;0;0;63;0;0;0;0;0;0;0;10;0;0;0
stable meadows;20;110;12;157;26;15;0;0;48;28;7;3;74;7;5;1;4;44;18;5;17;25;0;12;1;692;40;0;1;0;67;474;33;0;2;39;0;12;0;1
road and railway infrastructure networks and areas and ancillary spaces;41;104;133;23;30;109;0;0;205;360;75;9;194;13;632;0;164;13;429;301;23;2920;0;0;1;42;7847;2;9;0;476;54;59;0;284;337;0;22;0;10
rice fields;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bare rocks, cliffs and outcrops;0;23;0;0;329;1;0;0;0;3;0;0;91;0;1;0;5;0;0;0;0;8;0;0;0;2;40;0;148;0;0;1;0;0;0;45;0;0;0;0
salt pans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arable land in irrigated areas;289;101;18;4;5;22;0;0;175;247;28;0;81;2;205;0;33;59;117;42;201;235;0;10;3;59;218;7;0;0;3398;67;120;0;22;153;0;46;0;33
non-irrigated arable land;11;23;11;58;22;4;0;0;18;26;2;4;43;0;14;0;3;58;9;9;12;29;0;22;0;336;23;0;0;0;119;1039;29;0;1;53;0;22;0;0
complex cultivation and parcel systems;63;45;8;62;3;2;0;0;126;252;12;0;65;3;42;0;12;47;73;20;140;80;0;26;1;77;72;0;0;0;120;56;242;0;18;246;0;82;0;5
dunes and sand beaches;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
continuous fabric;3;3;7;2;0;2;0;0;38;77;0;1;13;1;31;0;98;1;22;6;2;520;0;0;0;1;289;0;1;0;4;4;9;0;2475;385;0;5;0;0
discontinuous fabric;23;28;3;36;9;3;0;0;209;360;8;11;84;19;110;0;127;14;57;21;30;440;0;10;0;32;209;1;0;0;102;32;94;0;315;1565;0;45;0;3
peat bogs;0;0;0;0;0;0;0;0;0;0;0;0;47;0;0;15;0;0;0;0;0;0;0;0;194;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
vineyards;21;5;5;0;2;5;0;0;24;22;0;0;4;0;13;0;3;4;27;6;120;17;0;19;0;13;11;0;0;0;49;8;34;0;1;17;0;1568;0;2
wetlands and brackish valleys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
internal wetlands;29;83;0;2;11;45;0;0;2;24;329;0;107;0;30;0;0;10;150;18;9;18;0;0;0;9;37;0;0;0;46;9;4;0;1;4;10;5;0;1008
