;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
orchards;98;43;1;7;1;3;0;0;30;28;2;0;19;0;28;0;2;14;17;3;1186;29;0;28;0;18;15;0;0;0;94;19;46;0;1;41;0;226;0;1
industrial, commercial, large-scale plant and service settlements;102;187;53;31;9;45;0;0;433;763;161;1;340;10;463;0;189;19;443;153;30;5383;0;6;0;78;1244;2;2;0;302;46;80;0;430;884;0;21;0;57
seas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
olive groves;13;19;39;4;11;0;0;0;122;140;5;0;12;0;11;0;7;3;2;20;396;38;0;632;0;17;65;0;0;0;61;61;183;0;0;97;0;42;0;0
high altitude prairies and moors;0;0;0;3;97;0;0;0;4;0;0;0;34;3;0;22;0;0;0;0;0;0;0;0;1793;3;1;0;38;0;0;0;0;0;0;0;1;0;0;1
stable meadows;22;126;8;114;57;5;0;0;45;32;4;5;60;11;12;0;4;67;22;6;9;15;0;10;3;695;22;0;0;0;93;493;22;0;0;28;0;10;0;0
road and railway infrastructure networks and areas and ancillary spaces;22;121;148;19;23;55;0;0;164;378;101;9;181;9;596;0;95;19;375;307;10;2951;0;3;0;76;7751;2;4;0;707;44;66;0;295;359;0;21;0;10
rice fields;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bare rocks, cliffs and outcrops;0;23;0;0;335;4;0;0;0;19;0;0;71;2;11;0;45;0;0;0;0;0;0;0;0;0;5;0;135;0;0;17;1;0;7;22;0;0;0;0
salt pans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arable land in irrigated areas;272;73;9;3;1;11;0;0;146;216;42;0;63;3;172;0;14;38;84;25;161;221;0;12;0;38;126;6;6;0;3787;55;144;0;15;183;0;37;0;37
non-irrigated arable land;5;34;2;57;25;7;0;0;24;27;4;1;33;1;30;0;1;40;7;8;24;18;0;14;1;285;11;2;1;0;147;1122;21;0;1;38;0;9;0;0
complex cultivation and parcel systems;35;65;3;38;5;4;0;0;152;177;9;0;87;4;60;0;18;45;39;17;109;89;0;37;0;68;70;0;4;0;172;69;312;0;19;259;0;33;0;1
dunes and sand beaches;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
continuous fabric;2;2;1;4;9;2;0;0;37;61;0;1;8;1;23;0;77;1;19;7;2;471;0;0;0;4;285;0;5;0;26;3;11;0;2584;351;0;3;0;0
discontinuous fabric;18;22;8;43;11;3;0;0;141;335;6;12;72;14;103;0;124;19;40;12;44;468;0;15;0;39;164;0;2;0;153;33;84;0;302;1679;0;32;0;2
peat bogs;0;4;0;0;4;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
vineyards;14;11;2;2;0;1;0;0;13;13;2;0;7;0;17;0;2;5;6;3;128;9;0;29;0;8;12;0;1;0;59;10;35;0;1;21;0;1587;0;2
wetlands and brackish valleys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
internal wetlands;16;51;0;6;4;26;0;0;4;82;242;0;124;0;31;0;0;23;117;13;4;20;0;0;4;5;30;4;1;0;70;4;5;0;0;3;0;2;0;1109
