;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
water basins;18;36;0;2;35;74;0;0;137;41;2984;0;67;0;86;0;8;5;328;8;25;135;0;3;0;14;115;1;0;0;41;20;12;0;20;18;0;10;0;880
coniferous forests;5;26;0;17;35;11;0;0;7;3;4;909;156;705;1;1;2;0;8;0;3;14;0;2;0;24;16;0;3;0;1;8;1;0;6;32;0;0;0;0
deciduous forests;533;729;1;121;82;12;0;0;116;339;115;50;7589;221;95;5;15;19;623;35;50;107;0;30;21;85;196;0;7;0;241;77;95;0;20;192;3;36;0;140
mixed coniferous and broad-leaved forests;1;109;0;18;100;10;0;0;10;2;5;278;471;852;0;0;1;0;36;0;0;7;0;1;0;41;9;0;7;0;0;16;1;0;3;21;0;1;0;0
construction sites;51;78;31;2;18;134;0;0;155;266;30;0;42;1;1311;0;56;11;145;148;34;531;0;1;0;33;376;0;4;0;200;30;26;0;41;179;0;25;0;41
bushes and shrubs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cemeteries;4;0;19;2;0;1;0;0;90;84;0;4;13;1;42;0;699;5;8;4;1;409;0;0;0;15;137;0;0;0;31;12;8;0;118;288;0;5;0;0
temporary crops associated with permanent crops;114;45;18;45;3;42;0;0;96;274;5;0;60;0;89;0;5;209;72;20;76;74;0;18;0;81;34;0;0;0;192;67;248;0;7;72;0;24;0;10
waterways, canals and waterways;127;145;8;12;96;121;0;0;75;154;245;0;469;10;179;0;4;20;5416;33;31;118;0;4;0;43;279;1;9;0;145;9;23;0;10;60;0;14;0;140
landfills and scrap yards;21;444;2;22;354;345;0;0;136;223;65;0;123;1;236;0;1;13;90;463;7;863;0;3;0;130;687;0;2;0;90;492;57;0;3;76;0;17;0;23
orchards;107;42;9;10;4;3;0;0;45;59;8;0;16;0;15;0;0;19;19;5;1156;32;0;27;0;10;13;0;0;0;73;17;43;0;4;59;0;203;0;2
industrial, commercial, large-scale plant and service settlements;111;66;56;43;12;44;0;0;469;688;169;3;393;5;476;0;239;44;386;204;50;5552;0;6;0;74;1214;0;2;0;175;39;70;0;486;801;0;29;0;61
seas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
olive groves;12;22;114;2;19;4;0;0;68;154;2;1;17;0;4;0;58;10;8;32;222;13;0;676;0;58;24;0;0;0;44;82;167;0;0;64;0;123;0;0
high altitude prairies and moors;0;1;0;1;43;0;0;0;3;0;0;2;30;1;0;23;0;0;0;0;0;0;0;0;1830;0;0;0;65;0;0;0;0;0;0;0;1;0;0;0
stable meadows;27;105;5;132;36;7;0;0;51;28;5;1;55;4;12;0;8;70;16;7;9;34;0;15;2;651;19;0;0;0;80;516;55;0;1;34;0;15;0;0
road and railway infrastructure networks and areas and ancillary spaces;48;86;109;40;36;65;0;0;208;477;97;12;205;10;828;0;145;4;388;284;18;2997;0;2;3;59;7697;0;16;0;332;29;55;0;323;314;0;27;0;7
rice fields;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bare rocks, cliffs and outcrops;0;43;0;0;348;1;0;0;13;0;1;22;69;8;4;0;2;0;2;1;0;4;0;0;1;0;3;0;120;0;0;3;1;0;0;48;0;3;0;0
salt pans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arable land in irrigated areas;294;70;13;2;3;25;0;0;176;223;25;1;75;2;212;0;25;39;120;39;266;202;0;12;0;44;160;3;5;0;3509;47;76;0;25;213;0;59;0;35
non-irrigated arable land;18;23;3;49;26;10;0;0;17;20;8;4;47;2;7;0;4;44;5;10;16;38;0;24;0;318;23;0;0;0;101;1082;35;0;2;49;0;15;0;0
complex cultivation and parcel systems;71;55;9;75;2;11;0;0;147;226;17;0;59;0;49;0;19;47;59;15;125;70;0;38;0;74;76;0;0;0;112;54;260;0;18;241;0;70;0;1
dunes and sand beaches;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
continuous fabric;2;3;0;6;0;0;0;0;43;89;0;4;11;0;17;0;81;1;19;12;2;592;0;2;0;2;285;0;0;0;11;4;3;0;2474;332;0;5;0;0
discontinuous fabric;25;31;14;27;10;6;0;0;190;392;4;8;66;23;134;0;141;24;57;26;38;459;0;12;0;40;215;0;1;0;96;30;77;0;310;1507;0;36;0;1
peat bogs;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;243;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0
vineyards;26;7;3;2;0;2;0;0;21;22;7;0;3;0;18;0;3;6;19;2;133;15;0;22;0;4;4;0;0;0;39;4;37;0;1;23;0;1575;0;2
wetlands and brackish valleys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
internal wetlands;27;63;0;1;8;42;0;0;4;58;241;0;130;0;38;0;0;16;118;14;4;14;0;0;0;5;38;3;0;0;41;9;3;0;2;6;3;0;0;1112
