;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
cemeteries;8;5;11;1;0;0;0;0;76;74;1;3;13;0;51;0;659;3;9;19;0;345;0;0;0;13;85;0;1;0;66;11;12;0;93;439;0;2;0;0
temporary crops associated with permanent crops;61;96;13;77;9;31;0;0;127;199;8;0;82;0;62;0;15;147;112;9;46;57;0;5;1;152;35;0;0;0;351;73;131;0;6;69;0;24;0;2
waterways, canals and waterways;119;161;3;9;60;87;0;0;79;143;227;4;401;8;130;0;15;16;5515;55;27;80;0;4;11;78;224;1;5;0;282;19;38;0;5;55;0;15;0;124
landfills and scrap yards;37;511;6;40;252;387;0;0;132;248;20;0;56;0;232;0;5;34;119;312;40;1024;0;0;11;406;523;0;23;0;149;291;23;0;1;79;0;10;0;18
orchards;90;58;10;10;3;2;0;0;35;33;2;0;17;0;11;0;1;22;17;2;1140;23;0;29;0;11;15;0;0;0;98;15;45;0;2;55;0;251;0;3
industrial, commercial, large-scale plant and service settlements;115;135;84;53;27;61;0;0;491;749;177;2;274;7;505;0;251;13;338;187;19;5404;0;5;3;47;1038;1;6;0;326;50;90;0;449;1002;0;15;0;43
seas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
olive groves;43;28;61;7;11;0;0;0;141;186;4;1;16;0;13;0;19;3;1;13;318;15;0;615;0;8;14;0;0;0;75;95;93;0;1;87;0;132;0;0
high altitude prairies and moors;0;0;0;0;47;0;0;0;0;0;0;0;31;0;0;13;0;0;0;0;0;0;0;0;1874;1;0;0;29;0;0;0;0;0;0;1;4;0;0;0
stable meadows;8;107;13;149;34;5;0;0;41;28;1;0;57;3;10;1;11;49;13;3;12;12;0;13;3;659;15;0;1;0;97;573;33;0;1;36;0;11;0;1
road and railway infrastructure networks and areas and ancillary spaces;57;95;114;28;29;44;0;0;216;476;66;8;195;2;743;0;106;11;362;161;16;2815;0;2;3;67;7964;1;19;0;565;62;64;0;270;295;0;44;0;21
rice fields;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bare rocks, cliffs and outcrops;0;27;0;0;350;5;0;0;3;10;2;0;52;23;0;0;21;0;0;0;0;3;0;0;0;3;25;0;152;0;0;5;0;0;0;16;0;0;0;0
salt pans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arable land in irrigated areas;164;140;16;4;6;20;0;0;279;226;30;0;62;4;218;1;21;31;75;85;225;167;0;2;8;32;126;8;10;0;3600;62;117;0;10;168;0;64;0;19
non-irrigated arable land;6;33;4;40;19;8;0;0;29;21;6;2;45;1;24;0;2;46;7;2;10;14;0;22;2;305;16;0;0;0;152;1096;31;0;3;38;0;15;0;1
complex cultivation and parcel systems;41;39;7;50;2;7;0;0;163;211;6;0;93;1;55;0;9;41;49;22;109;83;0;24;0;75;46;0;1;0;177;60;312;0;14;256;0;46;0;1
dunes and sand beaches;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
continuous fabric;0;0;0;3;2;0;0;0;33;67;0;0;11;1;18;0;71;3;22;6;2;520;0;0;0;2;236;0;0;0;13;7;4;0;2604;374;0;1;0;0
discontinuous fabric;13;23;8;46;10;5;0;0;128;332;7;11;76;11;95;0;178;14;49;16;20;422;0;7;0;26;173;0;4;0;155;48;113;0;282;1713;0;15;0;0
peat bogs;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
vineyards;17;14;1;0;0;2;0;0;19;15;2;0;10;0;10;0;3;4;15;2;142;10;0;32;0;9;6;0;0;0;50;11;26;0;1;23;0;1572;0;4
wetlands and brackish valleys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
internal wetlands;16;69;0;2;7;50;0;0;4;71;225;0;112;0;45;0;0;35;168;22;6;9;0;2;0;3;19;3;3;0;87;1;7;0;0;4;0;1;0;1029
