;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
temporary crops associated with permanent crops;70;62;0;55;4;17;0;0;118;335;5;0;55;0;125;0;7;187;46;8;35;89;0;7;0;87;43;0;0;0;271;103;144;0;5;96;0;19;0;7
waterways, canals and waterways;82;96;12;9;47;200;0;0;78;149;239;2;457;1;271;0;2;10;5483;38;21;105;0;0;0;13;289;0;2;0;215;4;22;0;10;82;0;7;0;54
landfills and scrap yards;40;233;32;23;155;774;0;0;177;177;15;0;100;1;472;0;1;18;72;451;12;1071;0;0;0;216;425;0;0;0;100;302;22;0;0;87;0;3;0;10
orchards;80;29;6;6;1;2;0;0;34;62;6;0;21;0;14;0;1;10;14;2;1208;30;0;27;0;8;18;0;0;0;79;15;52;0;0;49;0;226;0;0
industrial, commercial, large-scale plant and service settlements;89;125;59;18;4;47;0;0;375;762;93;0;343;5;378;0;164;6;289;123;23;5906;0;6;0;50;1417;0;2;0;181;34;64;0;499;860;0;13;0;32
seas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
olive groves;17;37;18;6;4;0;0;0;305;172;1;1;15;0;5;0;24;1;0;7;152;7;0;730;0;21;25;0;0;0;29;62;147;0;0;73;0;141;0;0
high altitude prairies and moors;0;0;0;0;50;0;0;0;3;0;0;2;26;0;0;8;0;0;0;0;0;0;0;0;1874;0;0;0;36;0;0;0;0;0;0;0;1;0;0;0
stable meadows;21;109;10;136;19;7;0;0;45;42;2;1;71;3;6;0;4;46;14;2;7;31;0;20;2;611;21;0;0;0;87;577;42;0;3;45;0;14;0;2
road and railway infrastructure networks and areas and ancillary spaces;19;91;120;39;18;52;0;0;166;369;70;9;192;7;729;0;109;5;301;260;19;3169;0;2;0;24;8080;0;2;0;296;53;38;0;267;386;0;24;0;5
rice fields;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bare rocks, cliffs and outcrops;0;43;0;0;326;9;0;0;0;2;4;0;94;8;6;0;16;0;0;0;0;18;0;0;0;1;19;0;123;0;0;1;0;0;0;27;0;0;0;0
salt pans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arable land in irrigated areas;223;65;12;4;0;3;0;0;144;231;32;0;64;0;202;0;14;35;74;18;181;284;0;4;3;28;165;1;3;0;3871;32;97;0;8;164;0;26;0;12
non-irrigated arable land;10;38;6;60;9;8;0;0;29;19;2;0;47;1;9;0;2;42;6;1;18;23;0;20;0;268;15;0;0;0;175;1116;31;0;0;38;0;6;0;1
complex cultivation and parcel systems;42;49;4;56;1;3;0;0;135;268;12;0;73;1;51;0;17;39;33;7;96;109;0;27;0;44;67;0;0;0;170;48;274;0;19;303;0;51;0;1
dunes and sand beaches;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
continuous fabric;0;0;0;1;0;0;0;0;34;83;0;0;8;0;17;0;67;1;14;4;2;459;0;0;0;0;212;0;0;0;4;2;4;0;2716;370;0;2;0;0
discontinuous fabric;10;19;3;33;2;2;0;0;174;368;5;8;77;6;123;0;108;13;33;11;20;526;0;16;0;29;181;0;0;0;80;24;82;0;268;1756;0;22;0;1
peat bogs;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
vineyards;19;8;1;1;0;0;0;0;16;18;3;0;4;0;10;0;1;8;13;2;138;16;0;33;0;1;8;1;0;0;32;1;34;0;0;29;0;1600;0;3
wetlands and brackish valleys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
internal wetlands;27;45;0;1;9;69;0;0;2;45;264;0;149;0;73;0;0;4;148;4;6;14;0;0;0;5;28;2;0;0;41;1;4;0;1;3;0;1;0;1054
