;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
seas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
olive groves;7;20;76;9;30;1;0;0;269;152;8;0;21;0;2;0;9;20;12;0;158;24;0;768;0;3;21;0;0;0;28;63;137;0;0;64;0;98;0;0
high altitude prairies and moors;0;1;0;0;28;0;0;0;2;0;0;0;29;1;0;18;0;0;0;0;0;0;0;0;1892;1;0;0;26;0;0;0;0;0;0;0;2;0;0;0
stable meadows;22;101;17;122;39;14;0;0;56;21;1;6;73;5;13;0;3;41;13;4;9;17;0;10;1;680;26;0;1;0;86;541;32;0;1;36;0;7;0;2
road and railway infrastructure networks and areas and ancillary spaces;49;83;119;22;25;74;0;0;219;362;84;10;236;4;849;0;114;17;403;282;13;2783;0;0;2;43;7950;1;9;0;517;59;43;0;232;286;0;23;0;8
rice fields;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bare rocks, cliffs and outcrops;0;21;0;6;393;0;0;0;5;7;0;0;74;2;8;0;20;0;0;0;0;1;0;0;3;5;47;0;83;0;0;4;0;0;1;17;0;0;0;0
salt pans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arable land in irrigated areas;304;79;11;2;1;13;0;0;150;194;18;1;60;1;177;1;27;22;111;45;228;222;0;10;1;32;220;1;1;0;3741;42;102;0;9;132;0;30;0;12
non-irrigated arable land;10;25;11;44;24;3;0;0;40;16;2;2;36;0;13;0;2;48;2;8;14;15;0;12;0;326;16;0;1;0;142;1111;28;0;1;35;0;13;0;0
complex cultivation and parcel systems;52;79;10;43;1;8;0;0;162;208;18;2;94;1;43;0;19;44;61;15;94;90;0;21;0;46;65;0;0;0;196;55;292;0;9;227;0;42;0;3
dunes and sand beaches;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
continuous fabric;0;0;5;4;0;0;0;0;44;66;1;0;13;1;20;0;76;1;11;9;6;540;0;0;0;1;255;0;0;0;9;2;4;0;2568;363;0;1;0;0
discontinuous fabric;12;21;7;37;4;1;0;0;191;329;9;15;81;13;101;0;135;10;56;19;18;461;0;9;0;28;224;0;1;0;154;34;91;0;228;1681;0;29;0;1
peat bogs;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;213;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
vineyards;15;10;3;0;1;0;0;0;34;21;0;0;8;0;13;0;0;2;11;2;131;7;0;21;0;4;5;0;1;0;52;9;36;0;1;18;0;1592;0;3
wetlands and brackish valleys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
internal wetlands;31;74;1;0;9;45;0;0;5;41;251;0;134;0;28;0;1;15;189;33;3;14;0;0;0;1;51;7;0;0;37;3;0;0;0;1;0;1;0;1025
