;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
bushes and shrubs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cemeteries;8;3;3;3;0;0;0;0;55;75;1;2;18;2;67;0;678;8;10;7;7;382;0;0;0;3;85;0;0;0;29;13;24;0;170;340;0;7;0;0
temporary crops associated with permanent crops;141;69;19;36;18;54;0;0;130;198;23;0;84;0;92;0;15;207;107;3;34;72;0;13;0;62;51;0;0;0;190;60;202;0;4;67;0;40;0;9
waterways, canals and waterways;141;114;7;12;99;164;0;0;63;143;224;3;433;17;165;0;11;8;5460;70;13;107;0;1;0;37;244;0;23;0;155;14;36;0;13;47;1;11;0;164
landfills and scrap yards;158;316;3;13;316;247;0;0;110;130;73;0;61;0;383;0;17;6;99;475;5;1046;0;0;0;372;509;0;1;0;179;316;28;0;2;64;0;5;0;55
orchards;96;53;5;10;2;3;0;0;38;38;7;0;20;0;27;0;6;7;30;5;1185;28;0;44;0;10;8;0;0;0;78;10;43;0;1;42;0;200;0;4
industrial, commercial, large-scale plant and service settlements;130;144;60;36;9;63;0;0;569;824;154;3;454;2;488;0;205;16;446;154;28;5316;0;7;2;21;1146;0;7;0;224;36;110;0;563;694;0;18;0;38
seas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
olive groves;37;23;127;5;27;0;0;0;66;73;8;4;14;4;20;0;21;4;2;9;156;13;0;781;0;4;30;0;0;0;28;48;168;0;1;90;0;237;0;0
high altitude prairies and moors;0;0;0;1;28;0;0;0;1;0;0;0;17;12;0;12;0;0;0;0;0;0;0;0;1874;0;0;0;49;0;0;0;0;0;0;0;6;0;0;0
stable meadows;27;135;16;132;58;7;0;0;43;33;6;2;55;2;11;1;11;61;18;3;9;26;0;20;1;622;39;0;1;0;65;496;43;0;1;42;0;11;0;3
road and railway infrastructure networks and areas and ancillary spaces;69;105;99;39;38;90;0;0;280;496;122;12;240;7;670;0;159;6;383;233;49;3104;0;0;2;61;7551;0;10;0;334;40;89;0;275;324;0;19;0;15
rice fields;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bare rocks, cliffs and outcrops;0;12;0;0;434;1;0;0;0;0;0;1;52;3;7;0;26;0;5;0;0;8;0;0;0;0;3;0;107;0;0;2;0;0;0;36;0;0;0;0
salt pans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arable land in irrigated areas;241;116;18;15;0;5;0;0;264;169;62;0;109;0;246;0;31;34;97;44;140;176;0;10;3;30;129;8;1;0;3652;31;140;0;13;141;0;32;0;43
non-irrigated arable land;17;38;8;52;20;5;0;0;17;23;8;3;28;3;15;0;3;34;8;6;10;25;0;21;0;288;18;0;0;0;139;1083;43;0;3;47;0;35;0;0
complex cultivation and parcel systems;63;61;7;66;0;5;0;0;78;203;35;0;92;4;86;0;8;39;56;12;95;97;0;42;0;45;62;0;0;0;154;52;325;0;17;237;0;57;0;2
dunes and sand beaches;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
continuous fabric;0;11;2;2;0;2;0;0;53;74;1;1;19;2;29;0;85;1;16;12;6;543;0;1;0;0;201;0;0;0;14;1;9;0;2462;448;0;5;0;0
discontinuous fabric;23;36;7;52;11;2;0;0;198;341;15;22;88;8;118;0;135;22;66;28;32;502;0;20;0;33;169;0;3;0;92;28;105;0;280;1527;0;37;0;0
peat bogs;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;217;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
vineyards;26;13;0;1;0;1;0;0;14;22;5;1;3;0;12;0;5;8;16;2;131;13;0;19;0;7;6;0;0;0;46;5;28;0;0;26;0;1589;0;1
wetlands and brackish valleys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
internal wetlands;31;44;0;22;11;25;0;0;16;32;224;0;130;0;35;0;1;18;180;4;3;14;0;0;1;20;29;8;0;0;21;0;4;0;0;0;3;3;0;1121
