;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
bushes and shrubs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cemeteries;16;0;18;3;0;0;0;0;66;44;0;0;17;1;36;0;745;5;2;8;0;283;0;0;0;9;133;0;0;0;50;14;11;0;136;398;0;5;0;0
temporary crops associated with permanent crops;85;94;17;38;0;25;0;0;137;207;4;0;73;0;81;0;1;231;30;10;34;50;0;2;0;132;41;0;0;0;320;96;138;0;9;86;0;29;0;30
waterways, canals and waterways;111;121;8;13;32;140;0;0;69;110;147;8;447;3;98;0;11;12;5779;26;26;88;0;2;1;35;188;2;9;0;295;21;28;0;8;71;0;12;0;79
landfills and scrap yards;5;421;7;8;77;295;0;0;198;312;13;0;95;0;313;0;9;42;43;337;9;968;0;0;0;455;581;0;5;0;144;468;125;0;0;45;0;4;0;10
orchards;93;23;9;8;0;2;0;0;33;35;4;0;16;0;21;0;3;9;14;7;1209;27;0;35;0;18;9;0;0;0;91;24;36;0;1;46;0;225;0;2
industrial, commercial, large-scale plant and service settlements;79;46;60;34;8;46;0;0;493;646;163;4;360;6;498;0;236;20;376;170;43;5707;0;4;0;76;1226;0;2;0;237;40;67;0;401;876;0;31;0;12
seas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
olive groves;7;23;77;10;21;0;0;0;146;66;1;1;33;0;15;0;12;1;0;17;171;26;0;590;0;15;22;0;0;0;95;133;178;0;0;110;0;230;0;0
high altitude prairies and moors;0;0;0;0;52;0;0;0;2;0;0;0;35;3;0;10;0;0;0;0;0;0;0;0;1857;2;0;0;34;0;0;0;0;0;0;0;5;0;0;0
stable meadows;10;118;15;128;40;6;0;0;34;44;4;2;68;5;9;0;4;56;8;7;7;21;0;15;2;680;16;0;1;0;95;530;29;0;1;35;0;10;0;0
road and railway infrastructure networks and areas and ancillary spaces;40;103;126;21;7;44;0;0;176;395;40;9;164;5;585;0;116;4;388;192;6;3103;0;0;0;111;8028;3;6;0;510;64;53;0;273;298;0;35;0;16
rice fields;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bare rocks, cliffs and outcrops;0;47;0;4;322;3;0;0;0;4;0;0;70;2;23;0;27;3;0;0;0;14;0;0;0;1;49;0;116;0;0;3;0;0;0;9;0;0;0;0
salt pans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arable land in irrigated areas;223;78;19;1;1;15;0;0;196;201;22;2;90;1;199;0;16;30;81;31;238;225;0;8;4;46;119;2;2;0;3798;47;108;0;10;130;0;43;0;14
non-irrigated arable land;13;33;3;51;23;2;0;0;22;23;3;3;39;1;16;0;2;37;5;6;14;13;0;13;0;303;8;0;1;0;157;1137;26;0;1;33;0;12;0;0
complex cultivation and parcel systems;61;85;6;52;4;5;0;0;117;195;15;1;79;1;36;0;20;24;35;17;108;93;0;25;0;62;71;0;0;0;190;67;320;0;17;255;0;36;0;3
dunes and sand beaches;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
continuous fabric;1;1;2;1;0;2;0;0;46;63;0;0;4;0;13;0;88;2;23;8;1;528;0;0;0;3;254;0;1;0;10;3;4;0;2506;433;0;3;0;0
discontinuous fabric;18;21;9;44;6;1;0;0;144;318;10;16;76;13;108;0;157;16;32;17;35;460;0;2;0;35;171;0;2;0;109;34;62;0;260;1792;0;32;0;0
peat bogs;0;0;0;0;3;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
vineyards;28;11;0;1;0;0;0;0;18;15;1;0;7;0;11;0;5;3;14;2;131;8;0;22;0;2;2;0;1;0;58;8;20;0;1;22;0;1607;0;2
wetlands and brackish valleys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
internal wetlands;16;61;0;4;9;32;0;0;6;28;250;0;143;0;56;0;0;34;123;9;2;8;0;0;0;6;41;7;0;0;104;0;6;0;0;3;2;5;0;1045
