;wood arboriculture;areas with evolving shrubby and tree vegetation;airport areas and heliports;areas with agricultural crops and important natural spaces;areas with sparse vegetation;mining areas;areas affected by fires;port areas;recreational and sports areas;green areas;water basins;coniferous forests;deciduous forests;mixed coniferous and broad-leaved forests;construction sites;bushes and shrubs;cemeteries;temporary crops associated with permanent crops;waterways, canals and waterways;landfills and scrap yards;orchards;industrial, commercial, large-scale plant and service settlements;seas;olive groves;high altitude prairies and moors;stable meadows;road and railway infrastructure networks and areas and ancillary spaces;rice fields;bare rocks, cliffs and outcrops;salt pans;arable land in irrigated areas;non-irrigated arable land;complex cultivation and parcel systems;dunes and sand beaches;continuous fabric;discontinuous fabric;peat bogs;vineyards;wetlands and brackish valleys;internal wetlands
bare rocks, cliffs and outcrops;0;29;0;0;338;0;0;0;0;1;5;0;61;26;4;0;24;0;7;0;0;4;0;0;0;0;27;0;130;0;0;0;0;0;0;41;0;0;0;0
salt pans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arable land in irrigated areas;385;120;16;3;7;6;0;0;190;213;36;0;64;1;265;0;24;31;115;26;117;180;0;10;0;48;117;2;0;0;3606;42;102;0;18;170;0;45;0;41
non-irrigated arable land;19;40;6;73;19;4;0;0;20;17;16;3;29;8;13;0;5;37;5;7;22;31;0;13;2;298;15;0;0;0;123;1059;47;0;2;38;0;28;0;1
complex cultivation and parcel systems;117;90;11;56;5;0;0;0;104;195;10;1;65;4;76;0;7;44;49;17;103;72;0;31;0;59;69;0;0;0;163;38;304;0;20;219;0;68;0;3
dunes and sand beaches;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
continuous fabric;1;1;1;7;0;1;0;0;33;79;0;0;7;3;40;0;92;1;23;8;5;496;0;0;0;2;253;0;3;0;6;2;3;0;2533;399;0;1;0;0
discontinuous fabric;23;32;7;59;4;3;0;0;177;409;12;24;79;15;143;0;175;35;63;13;42;447;0;5;0;31;202;1;0;0;87;28;101;0;305;1444;0;33;0;1
peat bogs;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;246;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
vineyards;26;15;1;2;1;0;0;0;19;29;3;0;6;0;17;0;4;5;20;2;127;15;0;27;0;7;9;0;0;0;27;4;21;0;1;18;0;1592;0;2
wetlands and brackish valleys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
internal wetlands;13;69;1;0;10;26;0;0;6;63;267;0;131;0;32;0;0;16;176;7;5;18;0;0;1;13;37;1;0;0;29;0;1;0;0;6;2;11;0;1059
